"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;31,8570213;17,9046021;3,872807;20,3692532;2,3153346;3,7066231;20,404583;7,060205;2,0077941;8,1952219;1,3093146;2,0844312;20,1642227;15,5631351;2,964515;3,358171;2,3769612;1,8028564;-319,9062805;-0,0057878;-0,0035099;-0,0056463;-25,5738201;-21,0483494;-299,7420578;-19,245493;-23,1968589
"2";2006;32,2671585;19,3239098;3,9479544;21,410059;2,3428705;4,0588489;20,8801575;7,2247601;2,0545902;8,3862286;1,3398311;2,1330132;18,6789532;12,6407309;2,5433612;4,0913901;1,9778425;1,7232251;-79,7685852;-0,0108293;-0,0065674;-0,0105646;-5,7243991;-3,3680534;-61,089632;-1,6448283;-3,7465566
"3";2007;32,0102501;19,2064743;3,9343359;21,7300129;2,3267508;4,0133467;20,973011;7,2568865;2,0637271;8,423522;1,345789;2,142499;18,6522331;11,2249556;2,3801324;4,8572268;1,7987051;1,7625996;-12,0905409;-0,0126161;-0,007651;-0,0123077;-0,1273396;1,5906296;6,5616922;3,3532292;1,6713655
"4";2008;31,5165329;19,2949257;3,9518702;22,1957359;2,3253634;3,9945405;21,0058842;7,2835975;2,0713236;8,4545269;1,3507433;2,1503851;19,0951405;10,4556198;2,3186033;5,5468106;1,7108284;1,8359029;6,038424;-0,013422;-0,0081397;-0,0130939;1,4448973;2,9747269;25,1335645;4,8106298;3,1557257
"5";2009;27,0687504;19,4903336;3,9827545;22,6649418;2,3371336;4,0076509;20,6174164;7,265624;2,0662115;8,4336653;1,3474102;2,1450789;19,5957718;9,9773064;2,2955329;6,1283555;1,6614853;1,9104873;8,6006641;-0,0139001;-0,0084296;-0,0135603;1,8806;3,3572967;28,1964359;5,267784;3,5420853
"6";2010;26,923172;19,5181103;3,987781;22,9080963;2,3350329;3,9928863;19,4788265;7,1553345;2,0348475;8,305645;1,326957;2,1125174;19,9133453;9,6280794;2,282129;6,5875673;1,6266572;1,9715143;8,2155571;-0,0142367;-0,0086337;-0,0138886;1,9957632;3,4450505;28,1289024;5,4165648;3,6224204
"7";2011;27,0777969;18,2940197;3,987375;23,1991749;2,3267949;3,9638288;18,7310028;7,1334887;2,028635;8,2802868;1,3229054;2,1060667;20,0154018;9,3560734;2,272306;6,9514461;1,5997452;2,020225;7,6403666;-0,0144888;-0,0087866;-0,0141346;2,0204601;3,4467676;27,6557684;5,4669926;3,6202053
"8";2012;26,4353867;17,5997925;3,983151;23,5234547;2,3127377;3,9307144;18,2183762;7,1507497;2,0335438;8,3003225;1,3261063;2,1111634;19,9861603;9,1428423;2,2657249;7,2479653;1,5790389;2,06055;7,5160723;-0,0146867;-0,0089066;-0,0143277;2,0198386;3,4253726;27,5022326;5,4859226;3,5988775
"9";2013;26,3545437;17,5226192;3,9798553;23,8463421;2,3020968;3,90379;17,9080124;7,1718087;2,0395324;8,3247643;1,3300115;2,1173804;19,8795452;8,9737453;2,2613549;7,4916582;1,5629137;2,0941501;7,2605357;-0,0148479;-0,0090044;-0,0144849;2,0122104;3,3988473;27,1400809;5,4929974;3,5751241
"10";2014;26,5253391;17,4387035;3,9867964;24,2034016;2,2958665;3,8868754;17,7230797;7,186305;2,0436552;8,3415918;1,3326997;2,1216605;19,7402706;8,8372459;2,2581172;7,6912904;1,5499974;2,1218283;6,9074874;-0,0149816;-0,0090855;-0,0146153;2,0028129;3,488708;26,647758;5,6105363;3,5528103
