"";"YEAR";"Month";"C";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";"        2005";"           1";5938,9897461;155,3585968;125,0915909;23,3605175;22,3102684;18,9295635;13,6449213;2005-01-01
"2";"        2005";"           2";5944,6157227;155,3399963;124,457016;23,2541409;22,3446255;18,8435078;13,6459522;2005-02-01
"3";"        2005";"           3";5946,6674805;155,2487793;123,6251221;23,1108704;22,3431511;18,7275543;13,6415768;2005-03-01
"4";"        2005";"           4";5941,5947266;155,0597534;122,7391052;22,9531002;22,278656;18,5998039;13,6290293;2005-04-01
"5";"        2005";"           5";5943,3520508;154,9328918;121,6734772;22,7692318;22,272625;18,4509888;13,6227341;2005-05-01
"6";"        2005";"           6";5945,3364258;154,8235321;120,7103195;22,6034412;22,2720375;18,3168106;13,6175795;2005-06-01
"7";"        2005";"           7";5960,7509766;155,019455;120,7136536;22,6153393;22,409729;18,3265858;13,6345377;2005-07-01
"8";"        2005";"           8";5986,3623047;155,368042;120,8835144;22,6636543;22,6418266;18,3659344;13,6639748;2005-08-01
"9";"        2005";"           9";6020,1855469;155,7192078;120,3102951;22,5884476;22,9267387;18,3053665;13,6970587;2005-09-01
"10";"        2005";"          10";6156,7631836;157,4674835;120,374794;22,6983414;24,1280994;18,3955727;13,8484478;2005-10-01
"11";"        2005";"          11";6201,9858398;158,0022736;120,053772;22,674366;24,5082779;18,3765697;13,89643;2005-11-01
"12";"        2005";"          12";6211,3095703;158,0594788;119,57724;22,5971851;24,5669651;18,3141727;13,9037342;2005-12-01
"13";"        2006";"           1";6212,2524414;157,9922333;118,9622574;22,4896622;24,5462723;18,2271271;13,9009438;2006-01-01
"14";"        2006";"           2";6217,4990234;157,9906158;118,4288025;22,3995876;24,5672455;18,154253;13,9032593;2006-02-01
"15";"        2006";"           3";6221,5439453;157,9668427;117,8392487;22,2988071;24,5753689;18,0726967;13,9039392;2006-03-01
"16";"        2006";"           4";6214,6972656;157,7770691;117,0357895;22,1526852;24,4795437;17,9543381;13,8914013;2006-04-01
"17";"        2006";"           5";6214,9648438;157,6614227;116,0942993;21,9874992;24,440115;17,8206501;13,8858747;2006-05-01
"18";"        2006";"           6";6211,7963867;157,4934692;115,0821152;21,8075695;24,3693638;17,6750221;13,8762541;2006-06-01
"19";"        2006";"           7";6227,5913086;157,6972046;115,0982208;21,8217735;24,5075798;17,6867123;13,8935108;2006-07-01
"20";"        2006";"           8";6254,1586914;158,0588531;115,274147;21,871809;24,7465935;17,7275314;13,9233503;2006-08-01
"21";"        2006";"           9";6286,9360352;158,4138794;114,7508163;21,8030796;25,0032787;17,6723213;13,955534;2006-09-01
"22";"        2006";"          10";6428,1386719;160,2517548;114,9683914;21,941515;26,2235756;17,7860813;14,1091595;2006-10-01
"23";"        2006";"          11";6472,3540039;160,7834167;114,6482315;21,9161282;26,5711136;17,7662983;14,1552877;2006-11-01
"24";"        2006";"          12";6480,6430664;160,8396912;114,2076035;21,8438835;26,6094913;17,7075367;14,1621208;2006-12-01
"25";"        2007";"           1";6483,6611328;160,830658;113,7754669;21,7694149;26,6045113;17,6470146;14,1633902;2007-01-01
"26";"        2007";"           2";6486,7441406;160,812973;113,2480621;21,6781502;26,5939407;17,5728512;14,164403;2007-02-01
"27";"        2007";"           3";6486,6806641;160,7423553;112,6017303;21,56357;26,5487499;17,4797783;14,1615238;2007-03-01
"28";"        2007";"           4";6479,3950195;160,5734406;111,9123383;21,4361801;26,4396095;17,3763676;14,1505346;2007-04-01
"29";"        2007";"           5";6487,1733398;160,5947876;111,3818893;21,346571;26,4553223;17,303896;14,1549463;2007-05-01
"30";"        2007";"           6";6496,1269531;160,6313324;110,9410858;21,2731113;26,4809628;17,244751;14,1601887;2007-06-01
"31";"        2007";"           7";6506,3774414;160,7191162;110,7440796;21,2442818;26,5398464;17,2216473;14,1685324;2007-07-01
"32";"        2007";"           8";6523,5092773;160,8849335;110,5413589;21,218811;26,6500854;17,2013931;14,1833992;2007-08-01
