"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";2005;1;17896,03125;45,8358955;34,0049629;5,9955277;33,4435654;3,5482459;7,6722164;2005-01-01
"2";2005;2;17906,0058594;45,8614426;34,0239182;5,9988694;33,462204;3,5502236;7,6764922;2005-02-01
"3";2005;3;17925,953125;45,9125328;34,0618172;6,0055523;33,4994812;3,5541785;7,6850443;2005-03-01
"4";2005;4;18175,3046875;46,551178;34,5356255;6,0890899;33,9654617;3,6036177;7,791944;2005-04-01
"5";2005;5;18674,0078125;47,8284645;35,4832268;6,256165;34,8974228;3,7024953;8,005743;2005-05-01
"6";2005;6;18993,1777344;48,6459351;36,089695;6,3630939;35,4938774;3,7657773;8,1425743;2005-06-01
"7";2005;7;19312,3476562;49,4634018;36,6961632;6,4700217;36,090332;3,8290589;8,2794065;2005-07-01
"8";2005;8;19591,6210938;50,1786919;37,2268219;6,5635839;36,6122284;3,8844304;8,3991337;2005-08-01
"9";2005;9;19850,9453125;50,8428802;37,7195778;6,6504636;37,0968475;3,9358468;8,5103102;2005-09-01
"10";2005;10;19860,9199219;50,8684235;37,7385292;6,6538038;37,1154861;3,9378242;8,5145845;2005-10-01
"11";2005;11;19870,8945312;50,8939705;37,7574806;6,657146;37,1341248;3,9398019;8,5188608;2005-11-01
"12";2005;12;19880,8691406;50,9195137;37,776432;6,6604877;37,1527672;3,9417794;8,5231361;2005-12-01
"13";2006;1;19890,9550781;50,9453468;37,7955971;6,663866;37,1716156;3,943779;8,5273752;2006-01-01
"14";2006;2;19901,0429688;50,9711838;37,8147659;6,6672459;37,190464;3,9457786;8,5306931;2006-02-01
"15";2006;3;19921,2148438;51,0228462;37,853096;6,6740041;37,2281609;3,9497783;8,5377512;2006-03-01
"16";2006;4;20072,1308594;51,4093781;38,1398544;6,7245626;37,4537811;3,9797001;8,5768785;2006-04-01
"17";2006;5;20495,1074219;52,4927254;38,8187065;6,8431544;38,0861435;4,0635643;8,7050743;2006-05-01
"18";2006;6;20817,8632812;53,3193741;39,3876648;6,9512839;38,6414642;4,1275568;8,7486286;2006-06-01
"19";2006;7;21140,6210938;54,1460228;39,9595146;7,0594144;39,1996384;4,1915498;8,7824364;2006-07-01
"20";2006;8;21423,03125;54,8693504;40,4961357;7,1540275;39,7273979;4,2475438;8,8241425;2006-08-01
"21";2006;9;21685,2714844;55,5410004;40,9944267;7,2418833;40,2174606;4,2995377;8,8789797;2006-09-01
"22";2006;10;21687,9726562;55,5479202;40,9985428;7,2427649;40,2204361;4,3000736;8,8801403;2006-10-01
