"";"variable";"value";"Inc";"Site";"ID";"Sens";"Response";"value2"
"1";"PerChange_LNSED_Min_Ca";0,0573248261697239;"Lower";"LN SED";"Ca";"Ex";"Weath";"NR"
"2";"PerChange_HNSED_Min_Ca";0,134555486861439;"Lower";"HN SED";"Ca";"Ex";"Weath";"NR"
"3";"PerChange_LNBAS_Min_Ca";1,24959091867137;"Lower";"LN BAS";"Ca";"Ex";"Weath";" "
"4";"PerChange_HNBAS_Min_Ca";-0,379613054472051;"Lower";"HN BAS";"Ca";"Ex";"Weath";"NR"
"5";"PerChange_LNSED_Min_K";-0,15198832344944;"Lower";"LN SED";"K";"Ex";"Weath";"NR"
"6";"PerChange_HNSED_Min_K";0,244093824914065;"Lower";"HN SED";"K";"Ex";"Weath";"NR"
"7";"PerChange_LNBAS_Min_K";0,500888716319458;"Lower";"LN BAS";"K";"Ex";"Weath";"NR"
"8";"PerChange_HNBAS_Min_K";1,38141618214301;"Lower";"HN BAS";"K";"Ex";"Weath";" "
"9";"PerChange_LNSED_Max_Ca";0,089428729379109;"Upper";"LN SED";"Ca";"Ex";"Weath";"NR"
"10";"PerChange_HNSED_Max_Ca";-0,251172133235743;"Upper";"HN SED";"Ca";"Ex";"Weath";"NR"
"11";"PerChange_LNBAS_Max_Ca";-2,25140756198051;"Upper";"LN BAS";"Ca";"Ex";"Weath";" "
"12";"PerChange_HNBAS_Max_Ca";-1,08917015186622;"Upper";"HN BAS";"Ca";"Ex";"Weath";" "
"13";"PerChange_LNSED_Max_K";0,515207734007083;"Upper";"LN SED";"K";"Ex";"Weath";"NR"
"14";"PerChange_HNSED_Max_K";-0,802966675857641;"Upper";"HN SED";"K";"Ex";"Weath";"NR"
"15";"PerChange_LNBAS_Max_K";0,805236802753189;"Upper";"LN BAS";"K";"Ex";"Weath";"NR"
"16";"PerChange_HNBAS_Max_K";5,06198380575377;"Upper";"HN BAS";"K";"Ex";"Weath";" "
