"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1433684,8046875;435233,9999999;105882,4604492;294188,0820313;51137,8845214;48131,0595705;234360,9375;48437,8669436;15227,4686279;40974,956421;7299,7970888;13592,29248;234360,9560546;53941,760559;17542,0427857;61702,7402802;7299,7962036;7070,7113953;-0,0185546000138856;-5503,8936154;-2314,5741578;-20727,7838592;0,000885200000084296;6521,5810847
"2";2006;1119811,1406249;407442,9433593;94345,7299804;257041,3095703;43277,6159668;490,9656983;232526,742798;47966,1830904;15079,2788085;40542,8039552;7249,5726319;13445,384766;232526,7578126;54554,6395262;17849,9491731;65355,0897216;7249,5715793;7079,9505616;-0,0150146000087261;-6588,4564358;-2770,6703646;-24812,2857664;0,00105260000054841;6365,4342044
"3";2007;807095,5996093;380996,3476562;83206,2304688;221299,3144534;35720,1453857;417,7412415;232040,6726073;47998,8656617;15054,438263;40418,0386353;7245,2505645;13384,666992;230481,3770752;55185,0023193;18076,4568024;67481,1994628;7245,2500304;7073,7817079;1559,29553209999;-7186,1366576;-3022,0185394;-27063,1608275;0,000534099999640603;6310,8852841
"4";2008;214691,1699219;348897,8242187;69588,2949217;178339,3105468;26678,4315796;254,8826294;232540,2780761;48336,3572083;15104,0927734;40567,6757813;7281,9244081;13426,9980468;181550,255127;56147,7368164;18389,0477908;69985,5163574;7281,9232637;7087,9816283;50990,0229491;-7811,3796081;-3284,9550174;-29417,8405761;0,00114440000015748;6339,0164185
"5";2009;0;97130,9804687;15969,8146973;37271,3769532;6365,954956;0;232038,4547118;48300,1739653;15070,3571475;40451,2260742;7275,3797607;13379,3305668;166533,8203124;56279,6497803;18287,4536132;69155,7292481;7275,3791045;7074,1195068;65504,6343994;-7979,47581500001;-3217,0964657;-28704,5031739;0,000656199999866658;6305,21106
"6";2010;0;3100,5146485;4507,6247558;7696,6750489;1284,0101624;0;231025,5344237;48101,679535;14995,4939269;40202,5339356;7249,7117613;13285,5146484;166314,9660642;55698,8387451;18034,9039;67153,1271973;7249,7104797;7042,5129699;64710,5683595;-7597,1592101;-3039,4099731;-26950,5932617;0,00128159999985655;6243,0016785
"7";2011;0;0;924,5875244;2326,776123;399,4086914;0;229780,2258299;47714,0066832;14893,9134823;39889,4604492;7205,9119112;13178,6015628;167026,0230711;54695,4538573;17683,6474762;64419,9765626;7205,9114535;7011,2127686;62754,2027588;-6981,4471741;-2789,7339939;-24530,5161134;0,000457699999969918;6167,3887942
"8";2012;0;0;385,3717041;694,4326172;61,5280151;0;228650,3133544;47390,5971527;14799,922821;39623,9719848;7172,7586365;13091,6806644;163245,9670411;53911,6124877;17372,0142212;61961,7301027;7172,7576752;6984,0231019;65404,3463133;-6521,015335;-2572,0914002;-22337,7581179;0,000961300001108611;6107,6575625
"9";2013;0;0;53,6983643;0;0;0;228017,3065186;47221,2890627;14749,7012327;39468,2412719;7153,345123;13037,072754;162067,4031983;53396,4680785;17149,1099091;60089,5102539;7153,3443756;6962,795532;65949,9033203;-6175,1790158;-2399,4086764;-20621,268982;0,000747400000363996;6074,277222
"10";2014;0;0;0;0;0;0;227384,2817382;47051,9758147;14699,4797058;39312,5115964;7133,9315643;12982,4663088;162427,3299561;53006,485962;16981,0189057;58746,1940917;7133,9305266;6946,25412;64956,9517821;-5954,5101473;-2281,5391999;-19433,6824953;0,0010377000007793;6036,2121888
"11";2015;0;0;0;0;0;0;227105,5756836;47078,8343659;14685,0697938;39244,6566773;7132,9414521;12949,416504;158898,9692381;52885,1877442;16882,4015045;57822,9870606;7132,9405367;6934,1802979;68206,6064455;-5806,35337829999;-2197,3317107;-18578,3303833;0,000915399999939837;6015,2362061
"12";2016;0;0;0;0;0;0;226168,9234621;46741,3944703;14604,1533203;39013,607971;7097,7371826;12876,333984;157890,6142579;52445,7459716;16739,9972383;56962,1358642;7097,7364961;6908,1403197;68278,3092042;-5704,3515013;-2135,843918;-17948,5278932;0,000686499999574153;5968,1936643
"13";2017;0;0;0;0;0;0;225910,9375;46719,1985321;14588,6062927;38944,1406249;7091,7732696;12845,583984;158646,9964601;52374,9073179;16687,0395661;56488,8702395;7091,7722168;6897,8928529;67263,9410399;-5655,7087858;-2098,4332734;-17544,7296146;0,00105280000025232;5947,6911311
"14";2018;0;0;0;0;0;0;223936,3121341;45988,2490998;14416,5397643;38456,921997;7016,1001741;12693,2548824;155152,6201172;51617,1414185;16489,2868956;55714,0413817;7016,0993955;6850,3011169;68783,6920169;-5628,8923187;-2072,7471313;-17257,1193847;0,000778600000558072;5842,9537655
"15";2019;0;0;0;0;0;0;221931,7436523;45180,2294007;14238,2215271;37955,5343628;6932,8227386;12540,146484;154192,8461914;50787,4308776;16290,5945738;54982,3673096;6932,821991;6800,3246458;67738,8974609;-5607,20147689999;-2052,3730467;-17026,8329468;0,000747600000067905;5739,8218382
"16";2020;0;0;0;0;0;0;221947,5303955;45249,1007232;14247,1170961;37947,2221681;6935,0454863;12527,094726;155316,2385254;50870,2498169;16294,8278961;54883,7375487;6935,0447082;6795,1468506;66631,2918701;-5621,14909370001;-2047,7108;-16936,5153806;0,000778099999479309;5731,9478754
"17";2021;0;0;0;0;0;0;221501,2155761;45123,0190276;14208,4639588;37850,0226441;6923,937088;12497,8593744;152409,3571777;50759,3779908;16252,8372649;54717,5795898;6923,936554;6786,8325196;69091,8583984;-5636,3589632;-2044,3733061;-16867,5569457;0,000533999999788648;5711,0268548
"18";2022;0;0;0;0;0;0;220377,8315431;44742,3506621;14115,9779969;37560,4376223;6880,426956;12399,4042968;151884,8247073;50390,0203858;16156,6280517;54361,9847412;6880,4265287;6749,3778687;68493,0068358;-5647,6697237;-2040,6500548;-16801,5471189;0,000427299999500974;5650,0264281
"19";2023;0;0;0;0;0;0;221040,7319337;44988,7297821;14172,4521484;37730,334961;6907,4456328;12454,791504;153228,7393798;50676,5651245;16221,3964841;54570,6712647;6907,4449004;6764,066101;67811,9925539;-5687,8353424;-2048,9443357;-16840,3363037;0,000732399999833433;5690,725403
"20";2024;0;0;0;0;0;0;219339,9050293;44348,8548735;14024,8296508;37304,2764283;6839,9593354;12320,1591792;150237,9284669;50072,3233339;16081,2953797;54181,7084962;6839,9589691;6721,67334;69101,9765624;-5723,4684604;-2056,4657289;-16877,4320679;0,000366300000678166;5598,4858392
"21";2025;0;0;0;0;0;692,375351;206132,3223879;43544,3425521;13904,9294815;37002,6081543;6780,1157038;10362,9973752;137144,7601318;47851,5422585;15448,5506457;49657,9076345;6780,1149103;6198,7060851;68987,5622561;-4307,1997064;-1543,6211642;-12655,2994802;0,000793500000327185;4164,2912901
"22";2026;10583,0646972;1043,8336488;438,9676668;1310,3668212;270,9727476;5643,4189452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";2027;10583,0646972;1043,8336488;438,9676668;1310,3668212;270,9727476;5643,4189452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";2028;0;0;0;0;0;691,4669266;1992,5261127;1006,5074881;194,5987827;490,9931669;95,7852251;128,0881692;1992,5262069;1024,6133914;199,5223096;532,7194942;95,785215;128,08818;-9,42000001487031e-05;-18,1059032999999;-4,92352690000001;-41,7263273;1,01000000114482e-05;-1,0800000012523e-05
"25";2029;0;0;0;0;0;0;1992,5261127;1006,5074881;194,5987827;490,9931669;95,7852251;128,0881692;1992,5262069;1041,858468;204,1059958;569,7343808;95,785215;128,08818;-9,42000001487031e-05;-35,3509799000001;-9,5072131;-78,7412139;1,01000000114482e-05;-1,0800000012523e-05
"26";2030;0;0;0;0;0;0;1992,5261127;1006,5074881;194,5987827;490,9931669;95,7852251;128,0881692;1992,5262069;1055,53117;207,4357682;595,9780575;95,785215;128,08818;-9,42000001487031e-05;-49,0236818999999;-12,8369855;-104,9848906;1,01000000114482e-05;-1,0800000012523e-05
"27";2031;0;0;0;0;0;0;1992,5261127;1006,5074881;194,5987827;490,9931669;95,7852251;128,0881692;1992,5262069;1067,2444725;210,1704334;617,3555755;95,785215;128,08818;-9,42000001487031e-05;-60,7369844;-15,5716507;-126,3624086;1,01000000114482e-05;-1,0800000012523e-05
"28";2032;0;0;0;0;0;0;1992,5261127;1006,5074881;194,5987827;490,9931669;95,7852251;128,0881692;1992,5262069;1077,5442652;212,5098768;635,5521793;95,785215;128,08818;-9,42000001487031e-05;-71,0367770999999;-17,9110941;-144,5590124;1,01000000114482e-05;-1,0800000012523e-05
"29";2033;0;0;0;0;0;0;9962,6297226;5032,5369683;972,9938395;2454,9655457;478,9260417;640,4408112;9962,6297227;5144,4978922;1000,8313007;2677,5602949;478,9259803;609,1666376;-9,99989424599335e-08;-111,9609239;-27,8374611999999;-222,5947492;6,13999999927728e-05;31,2741736
