"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min";"V26"
"1";"        2005";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;5,8511252;0;0;0;0;0;0;1,0475307;0,5488222;0,0738568;0,1749127;1,5101101;4,1568055;0,2736939;NA;2005;46,027195;22,7314434;4,7975121;21,3721066;6,2057729;4,1248441;26,8229275;7,8727846;2,5378816;9,6599989;1,5172249;2,2344396;32,9827385;14,7364216;4,069118;3,8314703;3,4687662;2,323359;24,9327965;-0,0177273;-0,0107506;-0,0167802;0,8821564;4,1630359;NA
"2";"        2006";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;6,7499027;0;0;0;0;0;0;1,0588037;0,5596508;0,0796867;0,187141;1,5975894;4,2576656;0,2756744;NA;2006;46,5822792;23,3721657;4,8467736;21,9116039;6,4463568;4,1379871;27,4480991;8,0562763;2,5970323;9,8851461;1,5525872;2,2865186;23,9478035;10,0050364;2,8241549;3,8875616;2,2983017;1,7452099;25,725584;-0,0302596;-0,0184409;-0,0285571;1,0144842;4,0073819;NA
"3";"        2007";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;7,1569881;0;0;0;0;0;0;1,0830388;0,5684108;0,0782681;0,186876;1,589662;4,3268995;0,2796518;NA;2007;46,1676025;22,3389492;4,8097525;22,3111343;6,0076008;4,0735784;27,2625809;8,0018244;2,579479;9,6378136;1,5420933;2,271064;24,9349499;9,9308624;2,849287;4,8104835;2,2387457;1,857978;24,0377522;-0,0338346;-0,0207841;-0,0321892;0,9003444;3,9003959;NA
"4";"        2008";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;7,4317007;0;0;0;0;0;0;1,1193355;0,5828062;0,0768326;0,1872211;1,584828;4,4415359;0,2845415;NA;2008;46,1960945;20,5376263;4,8188481;22,7697678;5,6542645;4,0596056;26,7498608;7,8513389;2,530968;9,2722998;1,5130919;2,2283525;25,7174339;9,8519831;2,8654401;5,5484929;2,185169;1,9490508;22,7903938;-0,0348578;-0,0216315;-0,0335378;1,0636773;3,8651569;NA
"5";"        2009";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;7,7887726;0;0;0;0;0;0;1,1640363;0,5992095;0,0767654;0,1926735;1,6062266;4,5973277;0,2907137;NA;2009;46,2942581;19,63661;4,8403525;23,4269619;5,4803929;4,0542622;26,6385612;7,8186684;2,520438;9,0890055;1,506796;2,2190812;26,3185349;9,7604952;2,8720548;6,1351285;2,1342154;2,0216048;22,8235226;-0,0351363;-0,0220291;-0,0342012;1,1843787;3,8443365;NA
"6";"        2010";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;8,2594318;0;0;0;0;0;0;1,1983382;0,6124821;0,0757745;0,1941894;1,6081575;4,7085304;0,2954985;NA;2010;46,2218246;17,557333;4,8491445;23,9859962;5,4868503;4,0338268;26,7140827;7,8408341;2,5275826;9,0337791;1,5110679;2,2253721;26,8036957;9,669878;2,8742461;6,6150908;2,0877714;2,0815716;22,3461781;-0,0348826;-0,0222803;-0,0346224;1,2289137;3,8146856;NA
"7";"        2011";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;8,7525482;0;0;0;0;0;0;1,249491;0,6337163;0,0743535;0,1956335;1,6091175;4,8784361;0,3018857;NA;2011;46,1020164;17,1529694;4,5900545;24,0631618;5,4982257;4,0030422;26,8458805;7,8795176;2,5400531;9,0331059;1,5185227;2,2363508;27,2057781;9,5849152;2,8742118;7,017312;2,0461526;2,1320984;21,6617889;-0,0345849;-0,0224758;-0,0348742;1,2945777;3,775903;NA
"8";"        2012";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;9,171299;0;0;0;0;0;0;1,3071978;0,6573212;0,073186;0,1986618;1,6179496;5,0745091;0,3090181;NA;2012;45,8390923;16,578989;4,5428395;23,574749;5,4195471;3,9722562;26,8664246;7,8855476;2,5419965;8,972929;1,5196848;2,2380629;27,5307426;9,5031919;2,8717356;7,3525901;2,0083759;2,1740301;21,6480961;-0,0346479;-0,0226435;-0,0349557;1,3359035;3,7357695;NA
"9";"        2013";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;9,3945093;0;0;0;0;0;0;1,3431522;0,6724724;0,0719924;0,1984627;1,6122495;5,1921782;0,3130941;NA;2013;45,5642624;16,1276474;4,464108;22,9289703;5,2373595;3,9327667;26,8473053;7,87994;2,5401886;8,7641706;1,5186036;2,2364707;27,7822571;9,4222183;2,8664942;7,6169248;1,9735186;2,2079709;21,244421;-0,0348433;-0,0227917;-0,0349786;1,3030668;3,6912441;NA
"10";"        2014";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;9,5915575;0;0;0;0;0;0;1,3763061;0,6864732;0,0715871;0,1997964;1,6158527;5,3081613;0,3164519;NA;2014;45,4364891;15,8289394;4,370295;22,4896584;4,9538522;3,9145718;26,7278805;7,8448853;2,528888;8,5806503;1,5118486;2,226522;27,961937;9,3394222;2,8580685;7,8080001;1,9407048;2,2343104;20,6268864;-0,0350465;-0,0229233;-0,0343851;1,2519273;3,6670642;NA
