"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;46,027153;22,7314434;4,7975121;21,3557777;6,2057729;4,1248441;26,8229275;7,8727846;2,5378816;9,6599989;1,5172249;2,2344396;32,9827385;14,7364216;4,069118;3,8314703;3,4687662;2,323359;23,9604092;-0,0185164;-0,0112291;-0,017545;0,9351086;4,2151227;56,9431477;6,5384817;4,4038748
"2";2006;46,5807304;23,3384533;4,8467736;21,8429298;6,4463568;4,1379871;27,4480991;8,0562763;2,5970323;9,8851461;1,5525872;2,2865186;23,9478035;10,0050364;2,8241549;3,8875616;2,2983017;1,7452099;23,6887093;-0,0316757;-0,0192992;-0,0298567;1,0606116;4,0567374;47,6365128;5,8019473;3,3589133
"3";2007;46,1553612;22,1284561;4,8093224;22,2081604;5,9946785;4,0735784;27,2341499;7,9934793;2,5767899;9,6332712;1,5404853;2,2686958;24,9318676;9,9299583;2,8489954;4,809761;2,2385714;1,8577209;21,4284916;-0,0352342;-0,0217461;-0,0336126;0,9324734;3,9506826;46,3603592;5,8084035;3,1710448
"4";2008;46,1669464;20,3361664;4,8184013;22,6990108;5,6382632;4,0596056;26,7245541;7,8439088;2,528574;9,2353373;1,5116606;2,2262449;25,7108154;9,8500376;2,864814;5,5452652;2,1847949;1,9484994;19,9358845;-0,0357706;-0,0226181;-0,0350563;1,1207855;3,9168556;45,6466999;5,865355;3,3055804
"5";2009;46,2722092;15,7837715;4,8400936;23,4277916;5,4677949;4,0542622;26,6251602;7,814734;2,5191696;9,0649643;1,5060381;2,2179649;26,3105373;9,7581444;2,8712981;6,1276779;2,1337631;2,0209386;19,9241962;-0,0351785;-0,0230189;-0,0357652;1,2346432;3,8961704;46,2347335;5,917109;3,3684063
"6";2010;46,1982422;15,7559166;4,8490858;23,9551048;5,4839873;4,0338268;26,7112026;7,8399873;2,5273104;9,0212059;1,5109049;2,2251322;26,7960205;9,6676283;2,8735209;6,6061125;2,0873375;2,0809329;19,3963604;-0,0349035;-0,0232678;-0,0361943;1,2784606;3,8677876;46,1923809;5,9487205;3,3657981
"7";2011;46,0349236;15,7037735;4,5655737;24,0806656;5,4895558;4,0030422;26,8375473;7,877069;2,539264;9,0240946;1,5180511;2,2356567;27,1982307;9,5827007;2,8734982;7,0079699;2,0457261;2,1314697;18,530838;-0,035082;-0,0234598;-0,0365114;1,344249;3,8302722;45,7290687;5,9617419;3,3899751
"8";2012;45,7834892;15,4852877;4,5428185;23,7111588;5,4194846;3,9722562;26,8665485;7,8855834;2,5420084;8,9865818;1,5196919;2,2380731;27,5239773;9,5012064;2,8710954;7,3445449;2,0079935;2,1734662;18,5669022;-0,0351234;-0,023624;-0,0365607;1,3846854;3,7903852;46,0908795;5,9638514;3,3926789
"9";2013;45,4995613;15,2566738;4,4706526;23,0505905;5,2562919;3,9327667;26,8564262;7,88098;2,5410509;8,7805862;1,5191193;2,2372298;27,7769032;9,4206285;2,8659873;7,6127539;1,9732159;2,2075248;18,079607;-0,0351505;-0,0237689;-0,0365387;1,3620113;3,7461579;45,8565102;5,9536827;3,3352272
"10";2014;45,3817444;15,1353464;4,3707714;22,5630226;4,9656982;3,9145718;26,6669579;7,7592473;2,5231247;8,5986633;1,5084021;2,2214468;27,9554405;9,333334;2,8574536;7,8069687;1,9403371;2,2337689;17,452055;-0,0354328;-0,0238974;-0,0360556;1,3116993;3,7220595;45,4074955;5,9558284;3,2520364
"11";2015;43,9276543;14,8184328;4,0394311;19,3517628;4,2245059;3,1830676;26,0614872;7,5380516;2,4658365;8,2879772;1,4741539;2,1710088;28,0186291;9,2202568;2,8411291;7,9341426;1,9062116;2,2490094;16,6445732;-0,0355681;-0,0240083;-0,0344726;1,1897352;3,0789359;44,6632023;5,3279453;3,0959468
"12";2016;35,6498108;14,9607601;3,1692221;17,5519142;2,7616498;2,883575;25,0986214;7,2830453;2,3747346;7,796001;1,4196898;2,0908;27,9665813;9,0878973;2,8166025;7,988461;1,8701334;2,2534416;9,8446827;-0,0357718;-0,0240988;-0,0326366;0,8839499;2,85338;37,811264;5,1068216;2,7540833
"13";2017;28,0543137;15,2660475;3,1566348;17,3529987;2,3690817;2,3644049;24,2546062;7,0592895;2,2948768;7,3909421;1,3719488;2,0204902;27,748703;8,9255247;2,7787254;7,9592204;1,8286308;2,2430129;4,9710636;-0,0363356;-0,0241633;-0,0318158;0,8540017;2,5235319;32,7197666;4,7665448;2,6826325
"14";2018;28,152298;14,8559942;3,1309221;17,3128777;2,2460623;2,3543129;23,8385086;6,9535089;2,255507;7,1606731;1,3484123;1,9858278;27,4504509;8,7543774;2,7352743;7,8845959;1,7860137;2,2249818;4,2750521;-0,0366539;-0,0242049;-0,0316195;0,8398167;2,4960735;31,725503;4,7210553;2,6258304
"15";2019;27,7343712;14,4366856;3,0937583;17,2357979;2,1409698;2,3149908;23,5186024;6,8711753;2,225239;6,9904385;1,3303174;1,9591784;27,1257229;8,5873184;2,691081;7,7895341;1,74488;2,203954;4,0885763;-0,0367589;-0,0242328;-0,0315914;0,8117625;2,4551358;31,2142992;4,6590898;2,5566425
"16";2020;27,1980247;12,6112928;3,0571959;17,1923523;2,0486612;2,2744651;23,2921619;6,8129191;2,2038138;6,8697734;1,3175085;1,9403147;26,7926369;8,4274731;2,6476324;7,6851044;1,7058673;2,1815443;3,770926;-0,037145;-0,0242526;-0,0316033;0,8003896;2,4162138;30,5635629;4,5977581;2,5062569
"17";2021;27,0676746;10,2838659;3,0480366;17,2877235;2,0097933;2,2643867;23,0520382;6,7484298;2,1810944;6,760138;1,3039259;1,9203112;26,4591961;8,2754946;2,6054873;7,5772934;1,6690956;2,1585071;3,8374484;-0,0377799;-0,0242676;-0,0316233;0,7942345;2,404294;30,2966445;4,5628011;2,4633301
"18";2022;26,762785;9,8481436;3,0318809;17,3426933;1,9696213;2,2390893;22,9520931;6,7233968;2,1716375;6,7023044;1,2982726;1,9119858;26,1361713;8,1332178;2,5654945;7,4715023;1,6348861;2,1358144;3,9213357;-0,0383853;-0,0242794;-0,0316427;0,7793273;2,378473;30,057507;4,5142874;2,4142134
"19";2023;26,3836384;9,7427979;3,0096395;17,3738937;1,9205724;2,2067223;22,8303337;6,6908422;2,1601176;6,6457214;1,2913854;1,901843;25,8324032;8,002183;2,5283451;7,3716903;1,6034919;2,1142704;3,7659168;-0,038765;-0,0242904;-0,0316614;0,769877;2,3460116;29,59832;4,460282;2,3733689
"20";2024;26,2704659;9,7118855;3,0037119;17,4831257;1,8984776;2,1951413;22,7103863;6,658011;2,1487691;6,5951328;1,2846009;1,8918512;25,5434666;7,8802528;2,4934936;7,2773418;1,5744487;2,0935619;3,9163265;-0,0391451;-0,024301;-0,0316806;0,7641189;2,3313549;29,4597931;4,4249168;2,3385676
"21";2025;25,757885;9,5890656;2,9756718;17,4749966;1,8421943;2,1543295;22,617487;6,632514;2,1399798;6,5564265;1,2793463;1,8841125;25,2713318;7,767314;2,4610174;7,1894226;1,5476829;2,0739021;3,9674876;-0,0393839;-0,0243116;-0,0307149;0,7547451;2,2924294;29,2388194;4,3663315;2,302428
"22";2026;25,4558754;9,5075083;2,9549818;17,5114059;1,8029016;2,1271925;22,4936829;6,5975184;2,1282663;6,5117064;1,2723434;1,8737993;25,0130482;7,6619363;2,4305422;7,107235;1,5228671;2,0550871;3,7802765;-0,0395807;-0,0243223;-0,0300871;0,7517895;2,2670631;28,7933247;4,3221502;2,2746566
"23";2027;24,8910789;9,352849;2,9196675;17,459095;1,740396;2,0817106;22,3360863;6,5522833;2,1133552;6,4594069;1,2634293;1,8606714;24,7634373;7,5621328;2,4014945;7,0292773;1,4995695;2,0367219;3,7901614;-0,0397465;-0,0243327;-0,0299239;0,7442474;2,2251396;28,5535987;4,2618615;2,2438169
