"";"Year";"Month";"RF";"PET";"AET";"TF";"In";"Date"
"1";2005;1;636,4997559;43,3682365;14,6274366;504,1899109;132,309845;2005-01-01
"2";2005;2;132,5275421;47,4672432;37,1531372;99,6279984;32,8995361;2005-02-01
"3";2005;3;258,2542114;76,5842743;53,6664047;193,4024506;64,8517532;2005-03-01
"4";2005;4;111,7077408;73,8422394;64,4866028;81,0631409;30,6446018;2005-04-01
"5";2005;5;82,497879;90,8102646;88,6090851;60,0455284;22,4523487;2005-05-01
"6";2005;6;54,0071678;102,3254013;96,6330948;37,5569534;16,4502106;2005-06-01
"7";2005;7;5,3802967;156,9083405;152,7210846;2,5621226;2,8181739;2005-07-01
"8";2005;8;0,6658783;119,8951035;13,2689381;0;0,6658783;2005-08-01
"9";2005;9;39,6685905;117,7861176;13,4617395;27,9258709;11,7427187;2005-09-01
"10";2005;10;56,9814224;106,0839005;21,5876751;39,9450645;17,0363617;2005-10-01
"11";2005;11;724,5911255;71,5655975;43,5438499;576,4246826;148,1662598;2005-11-01
"12";2005;12;397,2185669;40,4450531;17,3351994;313,7400208;83,4785843;2005-12-01
"13";2006;1;636,4997559;43,3682365;14,6274366;504,1899109;132,309845;2006-01-01
"14";2006;2;132,5275421;47,4672432;37,1531372;99,6279984;32,8995361;2006-02-01
"15";2006;3;258,2542114;76,5842743;53,6664047;193,4024506;64,8517532;2006-03-01
"16";2006;4;111,7077408;73,8422394;64,4866028;81,0631409;30,6446018;2006-04-01
"17";2006;5;82,497879;90,8102646;88,6090851;60,0455284;22,4523487;2006-05-01
"18";2006;6;54,0071678;102,3254013;96,6330948;37,5569534;16,4502106;2006-06-01
"19";2006;7;5,3802967;156,9083405;152,7210846;2,5621226;2,8181739;2006-07-01
"20";2006;8;0,6658783;119,8951035;13,2689381;0;0,6658783;2006-08-01
"21";2006;9;39,6685905;117,7861176;13,4617395;27,9258709;11,7427187;2006-09-01
"22";2006;10;56,9814224;106,0839005;21,5876751;39,9450645;17,0363617;2006-10-01
"23";2006;11;724,5911255;71,5655975;43,5438499;576,4246826;148,1662598;2006-11-01
"24";2006;12;397,2185669;40,4450531;17,3351994;313,7400208;83,4785843;2006-12-01
"25";2007;1;636,4997559;43,3682365;14,6274366;504,1899109;132,309845;2007-01-01
"26";2007;2;132,5275421;47,4672432;37,1531372;99,6279984;32,8995361;2007-02-01
"27";2007;3;258,2542114;76,5842743;53,6664047;193,4024506;64,8517532;2007-03-01
"28";2007;4;111,7077408;73,8422394;64,4866028;81,0631409;30,6446018;2007-04-01
"29";2007;5;82,497879;90,8102646;88,6090851;60,0455284;22,4523487;2007-05-01
"30";2007;6;54,0071678;102,3254013;96,6330948;37,5569534;16,4502106;2007-06-01
"31";2007;7;5,3802967;156,9083405;152,7210846;2,5621226;2,8181739;2007-07-01
"32";2007;8;0,6658783;119,8951035;13,2689381;0;0,6658783;2007-08-01
"33";2007;9;39,6685905;117,7861176;13,4617395;27,9258709;11,7427187;2007-09-01
"34";2007;10;56,9814224;106,0839005;21,5876751;39,9450645;17,0363617;2007-10-01
"35";2007;11;724,5911255;71,5655975;43,5438499;576,4246826;148,1662598;2007-11-01
"36";2007;12;397,2185669;40,4450531;17,3351994;313,7400208;83,4785843;2007-12-01
