"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;2926885,53125;505103,2578125;147782,0820313;405549,3339843;206561,1621094;121254,7382812;287662,939453;43303,9371033;15443,0805359;41855,6773528;17503,8986816;13099,0288088;286218,533203;46189,4942474;17727,5407717;54598,8543701;17503,897072;13099,0274657;1444,40625;-2885,5571441;-2284,4602358;-12743,1770173;0,00160959999993793;0,00134310000066762
"2";2006;2801423,421875;476130,2812499;140494,4936522;381835,7910156;199503,1757812;117613,9907226;293573,5073242;50778,7400207;16289,8035888;42318,9679567;19227,6464234;14397,7663573;286732,3798825;53896,8021394;18758,3372041;55076,3256836;19227,6455688;14397,7664793;6841,12744170002;-3118,0621187;-2468,5336153;-12757,3577269;0,000854600002639927;-0,000121999999464606
"3";2007;2417223,75;447052,6523436;128556,8969727;319513,2558592;192271,5771484;101532,7915038;298991,6557617;50858,1539306;16532,7025758;42971,749695;19655,4629515;14644,7138676;291877,005615;52959,4866942;19063,3714905;55329,3590091;19655,4608458;14644,7153316;7114,65014670003;-2101,3327636;-2530,6689147;-12357,6093141;0,00210570000126609;-0,00146400000085123
"4";2008;1966335,0078125;339508,8535156;114034,9304201;240405,0288084;183517,1406248;82088,0322268;304285,5595702;50633,896652;16767,8099976;43644,0462036;20215,0915528;14866,291992;296905,6945798;43760,6593628;19375,5607606;55780,2508544;20215,0893557;14866,291992;7379,86499039998;6873,2372892;-2607,750763;-12136,2046508;0,00219709999873885;0
"5";2009;1600006,2304688;202194,375;103566,3369141;186245,8551942;180494,9833985;66937,916626;307845,4416503;50306,7373048;16914,0094911;44054,6234743;20522,0934753;15017,4287112;300280,161377;43377,9863281;19587,50354;55699,6057128;20522,091614;15017,4301752;7565,28027330001;6928,7509767;-2673,4940489;-11644,9822385;0,00186129999929108;-0,00146400000267022
"6";2010;1585538,3476562;79248,0058594;97055,6523437;182962,0965576;180239,044922;64858,7972411;309926,8742674;49720,6473083;16973,5915223;44240,1830444;20748,1404116;15091,7329104;302243,9238279;42582,4398192;19693,4087525;54864,0832521;20748,1375427;15091,7329104;7682,95043950004;7138,2074891;-2719,8172302;-10623,9002077;0,00286890000279527;0
"7";2011;2465181,8984375;52713,0292969;132382,8027343;128114,4487306;196911,4335938;116579,716797;311356,9069824;49341,4674682;16061,6264953;44364,0111694;19566,5020143;15166,03125;303586,4011227;41326,3532409;18589,5748442;37050,7708742;19566,500122;15166,0297848;7770,50585969997;8015,1142273;-2527,9483489;7313,2402952;0,00189229999887175;0,00146519999907468
"8";2012;3299325,1875;69122,6931153;156254,9677733;4352,0283816;215791,3984375;161273,3730471;307436,6677246;48398,0231936;14631,0801393;44384,331421;15571,209381;14272,4543459;299608,5708008;39976,5026706;17050,8613587;32106,9802247;15571,2069702;14272,4543764;7828,09692380001;8421,520523;-2419,7812194;12277,3511963;0,00241079999977956;-3,04999994114041e-05
"9";2013;3847979,71875;220639,6630861;174913,5439456;4292,1831055;235281,5214844;187798,0283205;172527,7077638;48187,1919403;10027,2227479;44600,9519042;7473,0684511;8810,9936521;172527,7152709;40062,9623261;12266,5179293;31330,4927979;7473,067543;8810,9937017;-0,00750710000284016;8124,2296142;-2239,2951814;13270,4591063;0,000908099999833212;-4,96000011480646e-05
"10";2014;3813679,5;393715,1250001;174699,1191405;4218,820282;236190,2421875;185548,0410157;177854,4343263;47893,5814361;10167,7642516;44706,9609984;6794,7828216;9176,9233398;177854,4346314;38895,2132569;12292,3255463;30852,1707152;6794,7824212;9176,9234276;-0,000305100023979321;8998,3681792;-2124,5612947;13854,7902832;0,000400400000216905;-8,78000009834068e-05
"11";2015;3787496,59375;528276,1992186;174493,274414;4161,4609679;236476,7109376;184032,7714843;182018,7155761;37179,2446748;10306,1312255;44930,7564697;6526,2983169;9437,6845703;182018,7290041;34424,2174836;12334,8436737;30519,1751099;6526,2972009;9437,6845321;-0,0134280000056606;2755,0271912;-2028,7124482;14411,5813598;0,00111599999945611;3,81999998353422e-05
"12";2016;3763020,0625;577524,2265627;174294,0615235;4112,7422485;236666,2753907;182762,2451172;185121,6835937;24797,794037;10424,9225159;44880,4993895;6346,1229782;9631,5925293;185121,6708986;26077,094101;12369,0063476;30222,400635;6346,1224575;9631,593321;0,0126951000129338;-1279,300064;-1944,0838317;14658,0987545;0,000520699999469798;-0,000791700000263518
"13";2017;3680486,0625;587427,8789062;175756,5283202;1755,8067541;235414,3535156;179792,9384767;189838,8654784;22244,371521;10493,2760621;45071,4288329;6421,2026292;10834,3391114;189838,8679199;24529,3699952;12427,5640564;30407,6971436;6421,2017634;10834,3390885;-0,0024414999934379;-2284,9984742;-1934,2879943;14663,7316893;0,000865800000610761;2,28999997489154e-05
"14";2018;3727832,28125;585820,5351564;176954,2060547;3757,1155548;235560,2871093;182327,1601564;201520,6530762;20421,0281677;9527,7028196;44716,0350343;7141,0033875;9518,178467;201520,6699219;23104,6206206;11671,9178772;31319,5877685;7141,0025214;9518,1792147;-0,0168457000108901;-2683,5924529;-2144,2150576;13396,4472658;0,000866100000166625;-0,00074769999991986
"15";2019;3730012,4375;584648,480469;174001,6503907;4062,4853212;236515,4121095;181550,4306642;185723,4482421;22036,0391082;10576,519867;44310,9569094;6519,2527694;9725,8862306;185723,4536435;24616,0437011;12633,4587249;30839,4136352;6519,251871;9725,8861182;-0,00540140000521205;-2580,0045929;-2056,9388579;13471,5432742;0,000898399999641697;0,000112400000944035
"16";2020;3709430,375;584797,6367188;173896,0732423;3887,7381594;236562,1152345;180603,2041015;189374,8107908;21936,7654723;10615,0007326;44553,1556397;6471,753334;9963,1918948;189374,8225098;24441,3690033;12608,3334045;30764,5392456;6471,752985;9963,1919024;-0,0117190000019036;-2504,603531;-1993,3326719;13788,6163941;0,000348999999914668;-7,5999996624887e-06
"17";2021;3628640,03125;587928,0625002;175350,6162111;1740,2741626;235347,8359376;177696,3779296;191215,2468262;21875,5348968;10691,3592529;44484,2720946;6515,9135589;11074,6579587;191215,2468262;24375,9780578;12678,6675566;30866,6797485;6515,9127462;11074,6579053;0;-2500,443161;-1987,3083037;13617,5923461;0,000812699999187316;5,3400000979309e-05
"18";2022;3677976,21875;585172,4414063;176580,9785155;3748,4659423;235230,734375;180901,7626952;208022,5078124;20558,7474976;9717,7295836;44387,6900632;7247,4622802;9709,6489258;208022,5227051;23333,7649995;11921,3605347;31814,5488282;7247,461546;9709,6489868;-0,014892700011842;-2775,0175019;-2203,6309511;12573,141235;0,0007341999998971;-6,10000006417977e-05
"19";2023;3695689,484375;583608,9062499;173581,0468749;4066,5828856;236150,9023438;180263,8789064;190922,1484374;22484,8162536;10813,0092773;44663,1987916;6735,5354767;9963,4892574;190922,1521301;25150,6582335;12928,425873;31517,887146;6735,5347005;9963,4899749;-0,00369270000373945;-2665,8419799;-2115,4165957;13145,3116456;0,000776200000473182;-0,000717500000973814
"20";2024;3681937,40625;584295,1484376;173644,8408204;3902,1849367;236442,376953;179700,8242188;191793,9638672;22109,4579924;10762,2225342;44303,7809448;6555,86454;10089,1484377;191793,9704593;24694,7156371;12812,5164795;31219,6055909;6555,8640537;10089,1491163;-0,00659209999139421;-2585,2576447;-2050,2939453;13084,1753539;0,0004862999994657;-0,000678599999446305
