"","X","Ca_Tot","Mg_Tot","K_Tot","N_Tot","P_Tot","S_Tot","Ca_Har","Mg_Har","K_Har","N_Har","P_Har","S_Har","Ca_Leach","Mg_Leach","K_Leach","N_Leach","P_Leach","S_Leach","P_OCC","S_OCC","Site","Treatment"
"1",1,3231.53171057642,2588.86636716937,1208.01836167491,1646.08474272162,586.11739521372,5660.17336382203,1039.22661957642,170.34015176937,776.77728817491,1641.00887442162,151.35492381372,638.84953192203,2192.305091,2418.5262154,431.2410735,133.5606067,7.6538794,3843.6919167,427.3870228,1177.6319152,"LNS","40BO"
"2",2,3416.4805260948,3186.992796009,979.77395034157,1225.05147967951,803.00795854161,5595.96229705421,726.1649133948,119.158785009,537.27986084157,1130.39357007951,109.62261064161,449.00630525421,2690.3156127,3067.834011,442.4940895,187.7240289,6.5278788,2160.0688277,687.5366553,2986.8871641,"LNB","40BO"
"3",3,966.51325961365,1443.41545034849,832.94327343476,3663.39432095832,246.00702735722,5353.11710152541,303.13640821365,59.24444154849,272.06003773476,659.19816365832,54.26234755722,244.86832592541,663.3768514,1384.1710088,560.8832357,3023.608576,10.7643469,4207.9113267,188.3106727,900.3374489,"HNS","40BO"
"4",4,1263.40866335667,1756.81028412136,514.89713303278,3870.4704511903,1137.50829645892,5362.48038759835,589.75345205667,112.09914962136,483.20705953278,1215.4466391903,104.13313505892,428.51218079835,673.6552113,1644.7111345,31.6900735,2681.6466752,14.8288974,3527.5005982,1031.4818115,1406.4676086,"HNB","40BO"
"5",1,4080.47277334947,2655.89468038205,1646.34535681281,2806.20348053115,636.743559547786,5620.33315922096,1934.93839904947,295.22183258205,1319.67155001281,2801.05048513115,328.655587947786,675.719591920956,2145.5343743,2360.6728478,326.6738068,125.091466,7.7494954,3770.3006316,300.5893268,1174.3129357,"LNS","40WTH"
"6",2,3871.52183943874,3302.1255274211,1072.0015784921,2235.84619902708,780.471705457212,5558.37297269565,1371.90525783874,210.977201021103,866.746459092096,2116.85022892708,246.029790757212,453.211887095649,2499.6165816,3091.1483264,205.2551194,241.0533238,8.212419,2148.3947367,526.7036896,2956.7663489,"LNB","40WTH"
"7",3,1141.88371601236,1451.76738515817,1069.91369376034,4345.24475275558,423.555336350632,5358.49816880136,735.352747612362,185.303888058168,854.662627760337,2368.15653155558,257.916548950632,320.435918801361,406.5309684,1266.4634971,215.251066,1996.1368704,10.9074393,4141.5889711,162.1605185,896.4732789,"HNS","40WTH"
"8",4,1284.0381088748,1697.39847759014,441.387029238502,3625.11636393541,991.563116207454,3366.34956262406,569.599536874797,115.273445390136,435.345044438502,1435.58496413541,123.958128407454,183.564176424057,714.438572,1582.1250322,6.0419848,2228.3558681,11.7393421,3595.2190424,866.7525405,-412.4336562,"HNB","40WTH"
"9",1,3167.99726491328,2548.7766571451,1230.53308173844,1784.02440531575,575.44435859429,5605.84137428598,1080.77398691328,178.1251604451,814.28845583844,1753.70261311575,161.68446129429,683.54076938598,2087.223278,2370.6514967,416.2446259,151.9911725,9.3922389,3753.7674926,404.6267755,1168.5331123,"LNS","80BO"
"10",2,3268.45148818383,3296.97170392943,976.17250862177,1515.04223642851,777.39780248875,5549.57556162197,834.14727328383,137.51154722943,615.20907702177,1400.43788482851,126.26841508875,528.22000252197,2434.3042149,3159.4601567,360.9634316,226.431487,6.9043881,2078.7533262,644.667881,2942.6022329,"LNB","80BO"
"11",3,894.26421740239,1439.61361064475,829.69552682422,3243.55514686906,261.13404149425,5342.11422901035,370.16191660239,69.53654864475,320.62185082422,782.91613866906,63.44972179425,296.01742051035,524.1023008,1370.077062,509.073676,2480.1023857,11.8178912,4149.844637,193.4747961,896.2521715,"HNS","80BO"
"12",4,780.79328203604,1673.70842444616,185.44522781954,2709.02065438554,1123.33176280117,3224.96850544128,216.82902383604,36.59713574616,144.69182901954,397.43087278554,33.68412450117,141.43369984128,563.9642582,1637.1112887,40.7533988,2348.6460303,10.9826706,3481.7625235,1088.7211228,-398.2277179,"HNB","80BO"
"13",1,4293.50090876331,2634.06538273449,1645.43459493012,2839.24440069561,628.892992084426,5605.86540563807,2237.84242956331,298.225482034491,1308.89204503012,2807.43110339561,307.519087884426,754.462097238069,2055.6584792,2335.8399007,336.5425499,154.3291905,9.4182531,3687.0641429,312.2074746,1164.3391655,"LNS","80WTH"
"14",2,3864.01058673888,3316.33576675573,1080.37551657642,2277.74879261014,772.899680782875,5550.52927947552,1633.14809093888,213.656716455732,887.344237076418,2107.79308831014,223.630048582875,532.052168875524,2230.8624958,3102.6790503,193.0312795,291.1609499,8.9111284,2097.7966534,540.8426875,2920.6804572,"LNB","80WTH"
"15",3,1162.12817425247,1447.44266036096,938.089704247745,3825.4988220562,330.144422137599,5349.95638730157,729.918361352466,132.987378460959,597.538995347745,1555.7682822562,158.199506437599,313.257206901573,432.2098129,1314.4552819,340.5507089,2289.0700377,11.8777423,4141.9102839,167.7794837,894.7888965,"HNS","80WTH"
"16",4,939.551022691663,1680.81921369758,361.332610416388,3421.65752170434,1074.81205190348,3286.22315588254,458.029332291663,92.187147097584,349.751116916388,1133.84746450434,97.843730303484,160.353921782538,481.5216904,1588.6320666,11.5814935,2326.6440807,11.9288529,3529.340599,976.012665,-403.4713649,"HNB","80WTH"
