"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1562902,4765625;340901,8496095;88647,5361328;229066,7031251;45476,803711;79302,8754881;277101,9335936;46246,2740478;15227,4692079;39642,1845092;6989,0708657;12235,7771035;277101,9365231;47891,5491637;16076,1463624;46863,6095581;6989,0698393;12235,777836;-0,0029295000131242;-1645,2751159;-848,677154500001;-7221,4250489;0,00102639999931853;-0,000732500000594882
"2";2006;1160499,9335938;316675,7343752;77287,1999511;135481,5727537;37463,0917971;65220,3852538;278066,7475586;45774,589844;15079,2796019;39210,0360717;6973,9671783;12168,2870712;278066,7465824;47705,8639221;16095,1955642;47933,4923097;6973,9661484;12168,287361;0,000976199982687831;-1931,2740781;-1015,9159623;-8723,456238;0,0010299000005034;-0,000289800000246032
"3";2007;835213,1093749;310699,8125001;70890,560547;61539,0870363;31961,8393553;55460,0026856;277580,692627;45807,2751464;15054,4383544;39085,2704467;6969,6449812;12125,4998551;277580,6965332;47579,8555754;16161,0112611;49634,4302978;6969,6445847;12125,5007324;-0,00390619999961928;-1772,580429;-1106,5729067;-10549,1598511;0,000396500000533706;-0,000877300000865944
"4";2008;712048,6679687;347583,1660154;76748,8789065;54810,6889954;32577,0141601;56202,1865235;278080,2822265;46144,765625;15104,093048;39234,9068603;7006,3187406;12158,8641818;278080,3103027;47943,4391176;16286,0515822;51188,6354981;7006,3179626;12158,8646701;-0,0280761999893002;-1798,6734926;-1181,9585342;-11953,7286378;0,000777999999627355;-0,000488300000142772
"5";2009;625846,743164;380313,5390624;80972,7578125;58257,2514801;31989,0064698;54730,0598144;277578,4367676;45822,624756;15070,3575745;39118,4540406;6999,7743225;12120,1628723;277578,436035;47420,6607207;16344,7549821;52835,8150634;6999,774025;12120,1626891;0,000732599990442395;-1598,03596469999;-1274,3974076;-13717,3610228;0,000297499999760475;0,000183199999810313
"6";2010;521210,2060547;396573,8828125;84349,6933593;61444,0905763;31053,7104492;52599,6054689;276565,533203;43887,8225097;14995,4942934;38869,765625;6974,1063768;12044,2790451;276565,540283;45385,2054748;16360,5469513;54369,5728761;6974,1055908;12044,2795791;-0,00707999995211139;-1497,38296510001;-1365,0526579;-15499,8072511;0,000786000000516651;-0,000534000000698143
"7";2011;463567,0556641;379648,7265626;87530,5805663;51929,1557619;30179,3398436;50556,0620118;275320,2207032;45522,4163817;14893,9145204;38556,6871947;6930,3064956;11955,2965243;275320,2419434;42148,6749877;16344,7854386;53055,1291504;6930,3062207;11955,2962799;-0,0212401999742724;3373,741394;-1450,8709182;-14498,4419557;0,000274899999567424;0,00024440000015602
"8";2012;455294,1708984;348046,6992187;95815,3906249;32961,6535645;32042,8216554;53161,0092775;274190,3171387;45199,0039061;14799,9231261;38291,2079467;6897,1532516;11877,3385849;274190,3378909;39442,6598054;16325,7949525;51499,2176514;6897,1520766;11877,3389893;-0,0207521999836899;5756,3441007;-1525,8718264;-13208,0097047;0,00117499999942083;-0,000404399999752059
"9";2013;478202,3666992;315386,578125;110999,9453126;26205,6485749;37431,5925293;61708,2321777;273557,2807617;45029,6970213;14749,7010191;38135,4732667;6877,7396928;11831,6980668;273557,2863768;37841,9484405;16340,6194153;50151,4085692;6877,7392656;11831,6981047;-0,00561509997351095;7187,74858080001;-1590,9183962;-12015,9353025;0,000427199999649019;-3,78999993699836e-05
"10";2014;557105,8984374;294210,9667967;129966,118164;18566,331543;45729,7648926;75045,0283202;272924,2866212;44860,3851317;14102,7116089;37979,7431031;6858,3250734;11786,0564272;272924,2971193;36820,4434205;15758,0562896;49051,8759767;6858,3241653;11786,0567322;-0,0104981000185944;8039,9417112;-1655,3446807;-11072,1328736;0,000908099999833212;-0,00030499999957101
"11";2015;854492,2265626;300253,859375;147649,0419922;5450,5715638;60197,1674805;98754,994629;272645,5639649;44887,2410889;12190,1790163;37911,8915406;6857,3353958;11761,9735261;272645,5778808;35143,0867919;13895,7866822;42745,3625489;6857,3344651;11761,9739533;-0,0139159000245854;9744,154297;-1705,6076659;-4833,4710083;0,000930700000026263;-0,000427200000558514
"12";2016;1659685,9921875;372385,3183594;158701,3330078;3,06e-05;86409,7929687;144780,2558594;271708,9074707;44549,7996825;9689,6468201;37680,839844;6618,1010438;11697,8554002;271708,9370115;34202,3380127;11379,8850707;38625,7170409;6618,1002272;11697,8548124;-0,029540800023824;10347,4616698;-1690,2382506;-944,877196900001;0,000816600000689505;0,000587799999266281
"13";2017;2472353,21875;448555,4765626;160152,7314454;6,1e-05;94642,6860352;164250,5507813;271450,9409178;35093,3269043;9258,6995544;37611,3717043;4335,4177016;8047,6986769;271450,9370116;30045,3265683;10961,3367462;37960,7811279;4335,4173507;8047,6991576;0,00390619999961928;5048,000336;-1702,6371918;-349,409423600002;0,000350900000739784;-0,000480699999570788
"14";2018;3116097,453125;482368,8085937;160658,4951171;0,0002441;94772,1879883;165897,9257812;248882,8872071;27471,9007568;9075,597107;37124,1526489;4271,4841539;7460,6909332;248882,897461;26928,9425354;10803,7579956;37568,5157471;4271,4837322;7460,6910629;-0,0102539000217803;542,958221400004;-1728,1608886;-444,363098199996;0,000421699999606062;-0,000129700000798039
"15";2019;3309453,65625;495807,6445313;161098,3027344;0,0007324;94903,165039;166122,7041015;200844,6413573;24390,9268799;8913,6752624;36622,7659303;4204,7244261;7350,1305389;200844,6345217;25361,948242;10672,0151978;37350,1807862;4204,7237845;7350,1307793;0,00683559998287819;-971,021362099997;-1758,3399354;-727,414855899995;0,000641599999653408;-0,000240399999711371
"16";2020;3316656,328125;500838,0742189;161359,9648438;0,0001296;94979,7006837;166260,6103515;199777,1467282;22685,7971192;8825,226776;36614,4501342;4173,3668442;7296,0582046;199777,1496582;24199,6162718;10616,8811798;37410,1418455;4173,3664093;7296,058113;-0,00293000001693144;-1513,8191526;-1791,6544038;-795,691711300002;0,000434900000072957;9,15999999051564e-05
"17";2021;3323667,671875;501604,8710937;161549,7666015;0,0007324;95039,7480469;166383,6679688;198863,9228513;22307,574707;8743,7721558;36517,2506103;4140,9651108;7240,4709624;198863,9318846;23978,4461059;10571,3135834;37509,9375001;4140,9646149;7240,4712076;-0,00903330001165159;-1670,8713989;-1827,5414276;-992,686889800003;0,00049589999980526;-0,000245199999881152
"18";2022;3340882,171875;502370,1093748;161788,8789062;6,1e-05;95139,1791993;166583,2236328;197497,0085447;21933,5462646;8619,3779907;36227,6682739;4076,6789553;7129,0279467;197497,0207516;23679,0736695;10482,6905823;37517,567749;4076,6786348;7129,0281912;-0,0122069000208285;-1745,5274049;-1863,3125916;-1289,8994751;0,00032050000027084;-0,000244500000007974
"19";2023;3359132,4375;502922,7226564;161927,0117185;0;95184,6298828;166684,1445314;195523,6169432;21607,1823731;8542,5056458;36397,5661011;4040,8284303;7067,7848357;195523,631836;23513,8657837;10439,56398;37679,9637451;4040,8279953;7067,7849272;-0,0148928000126034;-1906,6834106;-1897,0583342;-1282,397644;0,000434999999924912;-9,15000000532018e-05
"20";2024;3380790,625;503622,8867189;162144,4296875;0;95285,9995118;166847,3046876;193162,0031739;21191,9002686;8408,2633362;35971,5084228;3966,9816742;6940,2238008;193162,0090333;23188,3024292;10337,2034302;37629,3045653;3966,9814378;6940,223648;-0,00585940000019036;-1996,4021606;-1928,940094;-1657,7961425;0,000236399999721471;0,000152800000250863
"21";2025;3326809,3125;507722,4023439;163886,8310546;0,0002442;94702,7387695;165832,4306641;159311,6550293;20868,9155274;8308,2059021;35896,1838989;3752,510188;6565,8059426;159311,664795;21965,7763967;9759,8850608;32170,9376216;3752,5100003;6565,8064309;-0,00976570000057109;-1096,8608693;-1451,6791587;3725,2462773;0,000187700000424229;-0,000488300000142772
"22";2026;2905133,625;517320,3281256;168268,6171872;1032,7866216;94698,8906256;165729,5156256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";2027;2905133,625;517320,3281256;168268,6171872;1032,7866216;94698,8906256;165729,5156256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";2028;2880278,859375;519022,6953126;167933,1835937;465,3956338;94442,6406249;165075,4726563;1992,5261286;1006,5074901;194,5987876;490,9931593;95,7852239;124,5019957;1992,5262833;1017,0799774;200,0523009;551,0787373;95,7852102;124,5019934;-0,000154699999939112;-10,5724872999999;-5,4535133;-60,0855779999999;1,36999999966747e-05;2,30000000556174e-06
"25";2029;2844999,890625;523014,6015624;167754,0566407;384,6994524;94152,0947266;164238,5146484;1992,5261286;1006,5074901;194,5987876;490,9931593;95,7852239;124,5019957;1992,5262833;1034,3323912;208,9515691;650,6665611;95,7852102;124,5019934;-0,000154699999939112;-27,8249011;-14,3527815;-159,6734018;1,36999999966747e-05;2,30000000556174e-06
"26";2030;2809781,390625;527167,6796876;167600,399414;315,3663455;93872,873047;163413,5234374;1992,5261286;1006,5074901;194,5987876;490,9931593;95,7852239;124,5019957;1992,5262833;1051,688105;217,9041367;751,7557409;95,7852102;124,5019934;-0,000154699999939112;-45,1806148999999;-23,3053491;-260,7625816;1,36999999966747e-05;2,30000000556174e-06
"27";2031;2774652,453125;531443,9257813;167467,1660154;253,2704849;93602,9770509;162599,0166015;1992,5261286;1006,5074901;194,5987876;490,9931593;95,7852239;124,5019957;1992,5262833;1069,1053525;226,888451;853,9925688;95,7852102;124,5019934;-0,000154699999939112;-62,5978623999999;-32,2896634;-362,9994095;1,36999999966747e-05;2,30000000556174e-06
