"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;38,2316475;18,5118237;4,3086786;21,3480282;5,6178765;4,057261;23,0055008;6,6675987;2,1493766;8,6925478;1,2849643;2,7034087;29,0620022;12,8483639;3,4003756;3,076489;3,1377566;2,0574794;29,0393372;-0,0045205;-0,0027414;-0,0043944;2,419261;5,8397951;58,1013394;7,8972745;5,5570176
"2";2006;37,9103317;21,6007595;4,5592136;21,5635719;6,171114;4,4595289;23,8639145;6,9163885;2,2295771;9,0168953;1,3329105;2,8042817;21,9762135;9,0393667;2,4665947;3,5344629;2,1412518;1,7633251;16,2268047;-0,0086596;-0,0053426;-0,0084996;2,4481285;5,503931;38,2030182;7,2672561;4,5893803
"3";2007;38,5151253;20,7645206;4,6333528;21,6594334;6,3084202;4,5360184;24,6078739;7,1320086;2,2990844;9,2979984;1,3744642;2,8917062;22,9262238;8,9355507;2,4966516;4,5706449;2,0645571;1,9912791;13,6210175;-0,0095349;-0,0060923;-0,0096029;2,4475257;5,3605728;36,5472413;7,3518519;4,5120828
"4";2008;39,265049;17,4734287;4,7092295;21,8170414;6,4880333;4,6046491;25,088419;7,314455;2,3578985;9,5358543;1,4096247;2,9656799;23,7853966;8,8690557;2,5285501;5,4675555;2,0041482;2,191047;12,7634773;-0,0094758;-0,006332;-0,0098884;2,4469328;5,3486724;36,5488739;7,5397194;4,451081
"5";2009;39,7439537;17,3205547;4,7607427;21,778511;6,5865664;4,6514626;24,5452175;7,4803157;2,4113655;9,6422987;1,4415889;3,0329287;24,4686604;8,8263578;2,5598564;6,2358952;1,9557002;2,3653324;12,463726;-0,0094377;-0,0064237;-0,009418;2,4357321;5,3556809;36,9323864;7,7210133;4,3914323
"6";2010;40,0201263;16,9657764;4,786427;21,4410419;6,6591144;4,6744771;24,3145027;7,4349356;2,4541399;9,4389296;1,4671612;3,0551562;24,9174671;8,789094;2,5897758;6,8637834;1,9167013;2,5151594;12,3174915;-0,0094788;-0,0064726;-0,0088315;2,4217861;5,3507724;37,2349586;7,8659318;4,3384874
"7";2011;40,219696;16,4484673;4,5039163;14,1840248;6,2517872;4,6974897;25,0558968;7,4146967;2,496912;9,6825027;1,4927319;3,1135383;25,2719631;8,7362318;2,6177335;7,3705978;1,8851207;2,6423931;12,2134666;-0,0095392;-0,006508;-0,0080658;2,3014863;5,3494225;37,4854297;7,9918156;4,186607
"8";2012;40,3450241;15,9050608;4,1065321;12,5170565;4,8790851;4,3724442;25,7603722;7,4681125;2,5343397;9,6366262;1,5151076;3,1655266;25,6615734;8,6777639;2,6440611;7,8134003;1,8597556;2,7548666;12,0749454;-0,0094477;-0,0065385;-0,007065;2,1454327;5,001461;37,7365188;7,7563276;4,0051883
"9";2013;31,2264538;15,7175255;2,9648139;12,1833372;2,3706651;2,7069128;26,4018879;7,6536736;2,5717671;9,5041761;1,5374827;3,2164962;26,0718956;8,6349249;2,6687605;8,1586266;1,8394465;2,8545437;6,6372242;-0,0093997;-0,0065664;-0,006843;2,1227059;3,3489845;32,7091198;6,2035282;3,9621524
"10";2014;25,0063496;15,5352535;2,976054;12,0131721;2,1621761;2,8278499;26,9232769;7,8044286;2,5985005;9,3430815;1,5534648;3,2539237;26,4881935;8,6177778;2,6917048;8,4142265;1,82315;2,9428644;2,0141997;-0,0094332;-0,0065926;-0,006808;2,1131983;3,4280889;28,5023932;6,3709533;3,9363483
