"";"YEAR";"Month";"DW_F";"N_F";"Ca_F";"Mg_F";"K_F";"S_F";"P_F";"DW_Brk";"N_Brk";"Ca_Brk";"Mg_Brk";"K_Brk";"S_Brk";"P_Brk";"DW_Brh";"N_Brh";"Ca_Brh";"Mg_Brh";"K_Brh";"S_Brh";"P_Brh";"DW_Bol";"N_Bol";"Ca_Bol";"Mg_Bol";"K_Bol";"S_Bol";"P_Bol"
"3";2005;1;8946,5058594;117,4734421;33,1020699;10,6708317;50,7707825;8,4978552;17,8952065;2351,1872559;5,3757172;5,9955277;0,8062501;3,3127;0,2194099;0,8504505;4042,9660645;14,8353548;27,0878716;2,009248;7,5159874;0,9075145;"      2.0217309";28668,3476562;23,2325382;8,6005039;1,7096901;8,415041;11,1789112;1,433593
"4";2005;2;8870,3398438;116,4733429;32,8202591;10,5799847;50,3385429;8,4255085;17,7428551;2452,048584;5,6290698;6,2527232;0,8408365;3,4548085;0,2288222;0,886933;4085,5517578;15,007144;27,3731937;2,030412;7,5951557;0,9170735;"      2.0430262";29235,4101562;23,6920815;8,7706232;1,743508;8,5814924;11,400032;1,4619498
"5";2005;3;8793,0136719;115,4579926;32,534153;10,4877548;49,8997231;8,3520603;17,5881844;2552,909668;5,882422;6,5099196;0,875423;3,5969167;0,2382344;0,9234157;4128,1376953;15,1789341;27,6585178;2,0515764;7,6743236;0,9266327;"      2.0643220";29802,4765625;24,1516266;8,9407415;1,7773261;8,7479439;11,6211529;1,4903066
"6";2005;4;8741,9785156;114,7878723;32,3453217;10,4268837;49,6101074;8,3035841;17,4860992;2794,9765625;6,4904675;7,1271906;0,9584307;3,9379756;0,2608238;1,0109739;4230,34375;15,5912266;28,3432999;2,1023698;7,8643279;0,9495746;"      2.1154313";31163,4296875;25,25453;9,3490276;1,8584892;9,1474257;12,1518431;1,5583627
"7";2005;5;8433,3183594;110,7349625;31,2032776;10,058733;47,8584824;8,0104027;16,8687077;3501,0048828;8,263936;8,9275627;1,2005364;4,9327331;0,3267095;1,2663522;4528,4443359;16,7937508;30,3405762;2,2505183;8,4185057;1,0164886;"      2.2645004";35132,8828125;28,4713345;10,5398636;2,0952146;10,312582;13,6996861;1,7568594
"8";2005;6;8338,8515625;109,4945526;30,8537502;9,9460583;47,3223839;7,9206738;16,6797485;3773,3303223;8,9479876;9,6219921;1,2939198;5,3164253;0,3521226;1,3648553;4643,4262695;17,2575779;31,1109524;2,3076613;8,6322603;1,0422983;"      2.3219981";36663,953125;29,7120991;10,9991846;2,1865232;10,7619991;14,296711;1,8334227
"9";2005;7;8268,3564453;108,5689011;30,5929184;9,8619757;46,9223289;7,853713;16,5387402;4045,6557617;9,63204;10,3164215;1,3873035;5,7001176;0,3775356;1,4633584;4758,4077148;17,7214088;31,8813305;2,364804;8,846015;1,068108;"      2.3794961";38195,03125;30,9528656;11,4585075;2,2778316;11,2114153;14,8937368;1,9099857
"10";2005;8;8165,8989258;107,2235794;30,2138252;9,7397709;46,340889;7,7563939;16,3338013;4045,6557617;9,63204;10,3164215;1,3873035;5,7001176;0,3775356;1,4633584;4758,4077148;17,7214088;31,8813305;2,364804;8,846015;1,068108;"      2.3794961";38195,03125;30,9528656;11,4585075;2,2778316;11,2114153;14,8937368;1,9099857
"11";2005;9;7957,5048828;104,4872208;29,4427681;9,4912119;45,1582718;7,5584502;15,9169607;4045,6557617;9,63204;10,3164215;1,3873035;5,7001176;0,3775356;1,4633584;4758,4077148;17,7214088;31,8813305;2,364804;8,846015;1,068108;"      2.3794961";38195,03125;30,9528656;11,4585075;2,2778316;11,2114153;14,8937368;1,9099857
"12";2005;10;7539,9438477;99,0043716;27,8977909;8,9931717;42,7886429;7,1618295;15,0817375;4146,5170898;9,8853912;10,5736179;1,4218899;5,8422265;0,3869479;1,4998411;4800,9936523;17,893198;32,1666565;2,3859682;8,9251823;1,0776671;"      2.4007912";38762,09375;31,4124088;11,6286259;2,3116496;11,3778667;15,1148567;1,9383425
"13";2005;11;7298,6865234;95,8365097;27,0051403;8,7054148;41,4195213;6,9326706;14,5991631;4247,378418;10,1387434;10,8308134;1,4564766;5,9843345;0,3963601;1,5363238;4843,5795898;18,0649872;32,4519806;2,4071324;9,0043507;1,0872263;"      2.4220870";39329,1601562;31,8719559;11,7987461;2,3454673;11,5443172;15,3359785;1,9666991
"14";2005;12;7208,2148438;94,6485519;26,670393;8,5975056;40,9060974;6,846736;14,4181976;4348,2392578;10,3920975;11,0880098;1,4910631;6,1264429;0,4057724;1,5728064;4886,1650391;18,2367744;32,7373009;2,4282963;9,083519;1,0967853;"      2.4433823";39896,2265625;32,3314972;11,9688654;2,3792853;11,7107687;15,5570993;1,995056
"15";2006;1;9011,3613281;118,3250351;33,3420334;10,7481852;51,1388283;8,5594578;18,0249348;4367,9633789;10,4416409;11,1383057;1,4978267;6,1542325;0,407613;1,5799408;4893,5615234;18,266613;32,7868576;2,4319723;9,0972681;1,0984455;"      2.4470813";40011,2070312;32,4246788;12,0033588;2,3861425;11,7445202;15,6019354;2,0008056
"16";2006;2;8932,3535156;117,2876129;33,0497093;10,6539488;50,690464;8,4844112;17,8668976;4466,5834961;10,6893635;11,3897858;1,5316446;6,2931828;0,4168161;1,6156126;4930,5439453;18,4157963;33,0346413;2,4503515;9,1660194;1,106747;"      2.4655747";40586,1171875;32,8905754;12,1758318;2,4204283;11,9132729;15,8261137;2,0295546
"17";2006;3;8852,1425781;116,2343826;32,7529297;10,558279;50,2352715;8,4082222;17,7064571;4565,2036133;10,9370861;11,6412668;1,5654625;6,4321332;0,4260191;1,6512846;4967,5263672;18,5649815;33,2824249;2,4687309;9,2347708;1,1150484;"      2.4840682";41161,0234375;33,3564835;12,3483057;2,4547138;12,0820265;16,0502949;2,0583034
"18";2006;4;8799,203125;115,5392532;32,5570488;10,4951353;49,9348488;8,3579378;17,600563;4801,8911133;11,5316181;12,2448215;1,6466254;6,7656136;0,4481065;1,7368971;5056,284668;18,9230251;33,8771019;2,512841;9,3997736;1,1349717;"      2.5284524";42540,8046875;34,4746399;12,7622404;2,5369997;12,4870358;16,5883255;2,1273007
"19";2006;5;8479,0263672;111,3351364;31,3723946;10,1132498;48,1178703;8,0538187;16,9601345;5492,2304688;13,2656765;14,0051861;1,8833511;7,7382646;0,5125281;1,9866005;5315,1616211;19,9673214;35,6115761;2,6414962;9,8810329;1,1930811;"      2.6579068";46565,1640625;37,7359467;13,9695473;2,7769997;13,6683092;18,1575813;2,3285439
"20";2006;6;8381,0351562;110,0484467;31,0098286;9,9963713;47,5617752;7,9607406;16,7641258;5758,5039062;13,9345284;14,6841841;1,9746593;8,11343;0,5373765;2,0829146;5415,0146484;20,3701191;36,2805901;2,6911204;10,0666637;1,2154949;"      2.7078393";48117,421875;38,9938774;14,4352245;2,8695714;14,1239433;18,762867;2,4061663
"21";2006;7;8307,9091797;109,0882645;30,7392616;9,909152;47,1467896;7,8912821;16,617857;6024,777832;14,6033802;15,3631811;2,0659678;8,488596;0,5622248;2,1792288;5514,8676758;20,7729187;36,9496002;2,7407444;10,2522926;1,2379084;"      2.7577720";49669,6796875;40,251812;14,9009008;2,9621429;14,5795774;19,3681507;2,4837883
"22";2006;8;8201,6298828;107,6927338;30,3460293;9,7823887;46,543663;7,7903323;16,4052715;6024,777832;14,6033802;15,3631811;2,0659678;8,488596;0,5622248;2,1792288;5514,8676758;20,7729187;36,9496002;2,7407444;10,2522926;1,2379084;"      2.7577720";49669,6796875;40,251812;14,9009008;2,9621429;14,5795774;19,3681507;2,4837883
"23";2006;9;7985,4609375;104,8542938;29,5462074;9,5245543;45,3169174;7,5850039;15,9728804;6024,777832;14,6033802;15,3631811;2,0659678;8,488596;0,5622248;2,1792288;5514,8676758;20,7729187;36,9496002;2,7407444;10,2522926;1,2379084;"      2.7577720";49669,6796875;40,251812;14,9009008;2,9621429;14,5795774;19,3681507;2,4837883
"24";2006;10;7552,3203125;99,1668777;27,9435844;9,0079336;42,8588753;7,1735849;15,106493;6123,3979492;14,8511038;15,6146622;2,0997856;8,6275463;0,5714278;2,2149007;5551,8500977;20,922102;37,1973801;2,7591238;10,321044;1,2462097;"      2.7762656";50244,5859375;40,7177086;15,0733747;2,9964287;14,7483301;19,592329;2,512537
"25";2006;11;7302,0615234;95,8808212;27,0176277;8,7094402;41,4386787;6,9358764;14,6059141;6222,0175781;15,0988255;15,8661423;2,1336036;8,7664957;0,580631;2,2505727;5588,8325195;21,0712891;37,4451637;2,777503;10,3897943;1,2545111;"      2.7947590";50819,4921875;41,1836052;15,2458477;3,0307148;14,9170837;19,8165092;2,541286
"26";2006;12;7383,3320312;96,9479523;27,3183289;8,8063736;41,8998833;7,0130711;14,7684746;6320,6376953;15,3465471;16,1176224;2,1674213;8,905447;0,589834;2,2862446;5625,8149414;21,2204723;37,6929474;2,7958822;10,4585457;1,2628124;"      2.8132522";51394,3984375;41,6495094;15,4183207;3,0650008;15,0858383;20,0406876;2,570035
"27";2007;1;9242,7138672;121,3628387;34,1980438;11,024128;52,4517365;8,7792082;18,4876938;6339,9130859;15,394968;16,1667767;2,1740313;8,9326048;0,5916328;2,2932169;5632,9873047;21,2494049;37,7410049;2,7994466;10,471879;1,2644224;"      2.8168385";51512,0703125;41,7448654;15,4536228;3,0720186;15,1203785;20,0865726;2,5759194
"28";2007;2;9161,2412109;120,2930603;33,896595;10,9269533;51,9893875;8,7018204;18,3247299;6436,2919922;15,6370592;16,4125423;2,2070804;9,0683975;0,6006268;2,328078;5668,8486328;21,3940697;37,9812775;2,8172691;10,5385475;1,2724723;"      2.8347716";52100,4296875;42,2216606;15,6301289;3,1071062;15,2930803;20,3159943;2,605341
"29";2007;3;9078,5292969;119,2070007;33,5905571;10,8282986;51,5200005;8,6232567;18,1592846;6532,6708984;15,8791504;16,658308;2,2401297;9,2041903;0,6096207;2,3629389;5704,7109375;21,5387344;38,2215538;2,8350916;10,6052151;1,2805221;"      2.8527048";52688,7890625;42,6984634;15,8066359;3,142194;15,4657812;20,5454178;2,6347625
"30";2007;4;9023,9384766;118,4901886;33,3885727;10,7631874;51,2102051;8,5714035;18,0500927;6763,9794922;16,4601727;17,2481441;2,3194482;9,5300903;0,6312061;2,4466057;5790,7788086;21,8859272;38,7982101;2,8778653;10,7652178;1,2998416;"      2.8957443";54100,84375;43,8427773;16,2302551;3,2264044;15,8802624;21,096035;2,7053738
"31";2007;5;8693,7773438;114,154953;32,1669769;10,3693914;49,3365593;8,2577982;17,3896866;7438,6289062;18,1548176;18,9685001;2,5507936;10,4806366;0,6941636;2,6906338;6041,8110352;22,8985786;40,4801254;3,0026221;11,2318926;1,3561903;"      3.0212760";58219,34375;47,1803703;17,4658031;3,4720185;17,0891705;22,7019997;2,9113245
"32";2007;6;8592,7294922;112,8281403;31,7930984;10,248867;48,7631264;8,1618185;17,1875668;7698,8515625;18,8084698;19,6320667;2,640027;10,8472757;0,7184472;2,7847588;6138,6376953;23,2891712;41,1288681;3,0507424;11,4118967;1,3779249;"      3.0696955";59807,9101562;48,4677238;17,9423733;3,5667555;17,5554638;23,3214455;2,990762
"33";2007;7;8517,3232422;111,8379974;31,5140972;10,1589279;48,3351974;8,0901947;17,0367355;7959,0732422;19,4621201;20,2956314;2,7292602;11,2139158;0,7427307;2,8788843;6235,4643555;23,6797657;41,777607;3,0988629;11,5919008;1,3996593;"      3.1181145";61396,4765625;49,7550774;18,4189415;3,6614928;18,0217571;23,9408875;3,0702
"34";2007;8;8407,7285156;110,3989563;31,1085968;10,0282097;47,7132568;7,9860959;16,8175201;7959,0732422;19,4621201;20,2956314;2,7292602;11,2139158;0,7427307;2,8788843;6235,4643555;23,6797657;41,777607;3,0988629;11,5919008;1,3996593;"      3.1181145";61396,4765625;49,7550774;18,4189415;3,6614928;18,0217571;23,9408875;3,0702
"35";2007;9;8184,8183594;107,4719925;30,2838287;9,7623367;46,4482536;7,7743635;16,3716431;7959,0732422;19,4621201;20,2956314;2,7292602;11,2139158;0,7427307;2,8788843;6235,4643555;23,6797657;41,777607;3,0988629;11,5919008;1,3996593;"      3.1181145";61396,4765625;49,7550774;18,4189415;3,6614928;18,0217571;23,9408875;3,0702
"36";2007;10;7738,1694336;101,6072006;28,6312275;9,2296028;43,913559;7,3501139;15,4782372;8055,4521484;19,7042122;20,5413971;2,7623096;11,3497086;0,7517247;2,9137454;6271,3261719;23,8244286;42,0178795;3,1166849;11,6585674;1,4077091;"      3.1360476";61984,8359375;50,2318802;18,5954514;3,6965804;18,194458;24,170311;3,0996211
"37";2007;11;7480,1064453;98,2186737;27,6763935;8,9218006;42,44907;7,1049914;14,9620485;8151,8310547;19,9463081;20,7871666;2,7953589;11,4855003;0,7607186;2,948607;6307,1879883;23,9690933;42,2581596;3,1345074;11,7252369;1,4157588;"      3.1539807";62573,1953125;50,7086754;18,7719574;3,7316685;18,3671589;24,3997326;3,1290429
"38";2007;12;7613,5063477;99,9702988;28,1699772;9,0809116;43,2061043;7,2317023;15,2288818;8248,2099609;20,1883984;21,0329323;2,8284082;11,6212931;0,7697126;2,9834681;6343,0498047;24,1137543;42,4984322;3,1523302;11,7919044;1,4238086;"      3.1719131";63161,5546875;51,1854744;18,9484653;3,7667561;18,5398617;24,6291542;3,1584642
"39";2008;1;9520,4042969;125,0091095;35,2254982;11,35534;54,0276146;9,0429726;19,0431461;8267,7099609;20,237381;21,082655;2,8350949;11,6487656;0,7715324;2,9905214;6349,550293;24,1399727;42,5419807;3,1555603;11,8039875;1,4252677;"      3.1751637";63283,2578125;51,2841034;18,9849777;3,7740145;18,5755863;24,6766129;3,1645505
"40";2008;2;9436,8505859;123,9119873;34,9163513;11,2556829;53,5534477;8,9636097;18,8760185;8365,2089844;20,4822884;21,3312778;2,8685286;11,7861366;0,7806308;3,0257878;6382,050293;24,2710781;42,7597351;3,1717117;11,8644056;1,4325628;"      3.1914153";63891,7890625;51,7772522;19,1675358;3,8103051;18,7542076;24,9139023;3,1949806
"41";2008;3;9352,0234375;122,798172;34,6024895;11,1545067;53,0720634;8,8830366;18,7063446;8462,7089844;20,7271957;21,5799007;2,901962;11,9235077;0,7897294;3,0610545;6414,550293;24,4021797;42,9774818;3,1878636;11,9248238;1,439858;"      3.2076674";64500,3164062;52,2703972;19,3500938;3,846596;18,9328308;25,1511917;3,2254109
"42";2008;4;9296,0380859;122,0630341;34,3953438;11,0877295;52,7543564;8,8298578;18,5943584;8696,7070312;21,3149738;22,1765957;2,9822028;12,2531977;0,8115657;3,145694;6492,5493164;24,7168236;43,5000763;3,2266269;12,0698271;1,4573662;"      3.2466722";65960,7890625;53,453949;19,7882366;3,9336939;19,3615246;25,7206841;3,2984436
"43";2008;5;8957,4394531;117,617012;33,1425323;10,6838713;50,8328247;8,5082397;17,9170799;9379,2011719;23,0293274;23,9169559;3,216238;13,214797;0,8752552;3,3925598;6720,0478516;25,6345387;45,0243149;3,3396873;12,4927511;1,508432;"      3.3604350";70220,4921875;56,9059715;21,0661488;4,1877298;20,6118774;27,3817139;3,5114548
"44";2008;6;8853,8095703;116,2562866;32,7591019;10,5602674;50,2447357;8,4098072;17,709795;9642,4492188;23,6905766;24,5882378;3,3065088;13,5856991;0,8998212;3,4877791;6807,796875;25,9885139;45,612236;3,3832963;12,655879;1,5281289;"      3.4043148";71863,5234375;58,2374649;21,5590553;4,2857146;21,0941582;28,0223942;3,5936165
"45";2008;7;8776,4765625;115,2408524;32,4729652;10,46803;49,8058739;8,3363514;17,5551071;9905,6962891;24,3518257;25,2595196;3,3967795;13,9566031;0,9243872;3,5829988;6895,5458984;26,3424873;46,2001534;3,4269059;12,8190088;1,5478257;"      3.4481950";73506,546875;59,5689583;22,0519657;4,3836999;21,5764351;28,6630764;3,6757782
"46";2008;8;8664,0810547;113,7650299;32,0571022;10,333972;49,1680412;8,2295923;17,3302898;9905,6962891;24,3518257;25,2595196;3,3967795;13,9566031;0,9243872;3,5829988;6895,5458984;26,3424873;46,2001534;3,4269059;12,8190088;1,5478257;"      3.4481950";73506,546875;59,5689583;22,0519657;4,3836999;21,5764351;28,6630764;3,6757782
"47";2008;9;8435,4746094;110,7632751;31,2112579;10,0613031;47,8707123;8,0124493;16,8730202;9905,6962891;24,3518257;25,2595196;3,3967795;13,9566031;0,9243872;3,5829988;6895,5458984;26,3424873;46,2001534;3,4269059;12,8190088;1,5478257;"      3.4481950";73506,546875;59,5689583;22,0519657;4,3836999;21,5764351;28,6630764;3,6757782
"48";2008;10;7977,4116211;104,7486038;29,5164242;9,5149555;45,2712364;7,5773578;15,9567814;10003,1953125;24,5967331;25,5081444;3,4302132;14,0939741;0,9334858;3,6182656;6928,0458984;26,4735889;46,4179039;3,4430571;12,879426;1,5551207;"      3.4644468";74115,078125;60,0621033;22,2345257;4,419991;21,7550583;28,900362;3,7062085
"49";2008;11;7712,753418;101,273468;28,5371914;9,1992874;43,7693253;7,3259726;15,4273996;10100,6953125;24,8416405;25,7567673;3,4636469;14,2313442;0,9425843;3,6535323;6960,5458984;26,6046925;46,6356583;3,4592085;12,9398432;1,5624158;"      3.4806983";74723,609375;60,5552559;22,4170818;4,4562817;21,9336796;29,1376514;3,7366385
"50";2008;12;7808,2734375;102,5277023;28,8906174;9,3132191;44,3113937;7,4167018;15,6184626;10198,1943359;25,0865498;26,0053864;3,4970806;14,3687153;0,9516828;3,6887987;6993,0458984;26,7357941;46,853405;3,4753599;13,0002613;1,569711;"      3.4969499";75332,140625;61,0484009;22,5996399;4,4925728;22,1123047;29,3749409;3,7670689
"51";2009;1;9521,8203125;124,4227982;35,2307396;11,3570299;54,0356483;9,0443172;19,0459785;10217,4697266;25,1281891;26,0545425;3,50369;14,3958731;0,9534816;3,6957707;6999,097168;26,7567883;46,8939514;3,4783673;13,0115118;1,5710694;"      3.4999762";75455,859375;61,1346283;22,6367588;4,4999509;22,1486206;29,4231834;3,7732558
"52";2009;2;9436,3730469;123,3062515;34,9145889;11,2551136;53,5507469;8,9631567;18,8750629;10313,8486328;25,370285;26,3003063;3,5367393;14,5316658;0,9624755;3,7306323;7029,3554688;26,8788471;47,0966835;3,4934049;13,0677614;1,5778614;"      3.5151076";76074,46875;61,6359482;22,8223438;4,5368438;22,330204;29,6644058;3,8041902
"53";2009;3;9349,625;122,172699;34,5936127;11,1516447;53,0584526;8,8807583;18,7015457;10410,2265625;25,6123772;26,5460739;3,5697887;14,6674557;0,9714695;3,7654932;7059,6137695;27,0009079;47,2994118;3,5084422;13,1240139;1,5846535;"      3.5302389";76693,0859375;62,1372604;23,0079269;4,5737362;22,5117874;29,9056282;3,8351247
"54";2009;4;9292,3710938;121,4245377;34,3817749;11,0833559;52,7335434;8,8263741;18,5870228;10641,5351562;26,1933975;27,1359081;3,6491072;14,9933586;0,9930549;3,8491602;7132,2338867;27,2938519;47,785965;3,5445328;13,259016;1,6009543;"      3.5665529";78177,765625;63,3404312;23,4533329;4,6622772;22,9475842;30,4845619;3,9093678
"55";2009;5;8946,0996094;116,8997879;33,1005745;10,6703463;50,7684784;8,4974689;17,8943958;11316,1855469;27,8880463;28,856266;3,8804526;15,9439011;1,0560124;4,0931878;7344,0424805;28,1482773;49,2050858;3,649796;13,6527739;1,6484985;"      3.6724703";82508,078125;66,8496704;24,7524242;4,9205232;24,2186623;32,1731186;4,1259093
