"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"1";112,6086426;61,0465431;59,9890594;9,235548;0,683196;489,5826416;"1";2005-01-01
"2";115,4420013;60,5056534;60,0787811;7,0492716;0,7693192;489,2509155;"1";2005-02-01
"3";117,2921066;59,7662468;59,6588593;5,9694238;0,9417933;489,0220947;"1";2005-03-01
"4";118,6847534;59,2314606;59,4852943;5,1544042;0,7979326;488,7016296;"1";2005-04-01
"5";118,9743805;58,4752312;58,2076378;4,567956;0,7114048;488,2164307;"1";2005-05-01
"6";118,499176;57,71698;56,8952484;4,2067757;0,7206754;487,9356689;"1";2005-06-01
"7";116,1518631;56,5191345;55,359642;4,1414227;0,6335604;488,7878418;"1";2005-07-01
"8";115,6073761;56,9597931;53,592205;4,6263747;0,200847;487,5864868;"1";2005-08-01
"9";115,5921173;56,7511177;52,5202637;5,1381059;0,3215849;486,6449585;"1";2005-09-01
"10";115,9335785;55,9717216;52,7447014;4,6414609;0,4809842;486,8684692;"1";2005-10-01
"11";115,3718491;54,960434;50,7271423;4,549552;0,7395467;487,6929626;"1";2005-11-01
"12";115,1129913;54,2372322;49,9482956;4,8479056;0,8862267;487,9663696;"1";2005-12-01
"13";115,2506561;53,5152969;48,7692909;5,0078063;1,0757145;488,2459412;"1";2006-01-01
"14";115,4249496;52,7713547;48,6361885;3,8960035;1,0923371;488,7565002;"1";2006-02-01
"15";115,8536835;52,2412643;48,3914909;3,8060145;1,2074229;488,6977844;"1";2006-03-01
"16";115,9298553;51,5268478;48,2461891;3,5617099;0,9394763;488,8474426;"1";2006-04-01
"17";115,3017426;50,6966095;47,0907516;3,0417185;0,7700393;488,7753906;"1";2006-05-01
"18";114,3137589;49,8604393;45,9150925;2,7046962;0,7527193;488,7969055;"1";2006-06-01
"19";111,8386154;48,6813164;44,400341;2,6531317;0,6540076;489,7575989;"1";2006-07-01
"20";111,3738251;49,100193;42,5469475;2,9790852;0,2059388;488,6170349;"1";2006-08-01
"21";111,0316544;48,7360153;41,5938988;2,6750932;0,323333;488,2330627;"1";2006-09-01
"22";110,995224;47,9902611;42,0106659;2,8272595;0,4797713;488,3965759;"1";2006-10-01
"23";110,4281998;47,2320213;40,6108398;3,5139115;0,7349279;488,9635315;"1";2006-11-01
"24";110,0973587;46,6135406;40,1903343;4,0695667;0,8849875;489,1752014;"1";2006-12-01
"25";109,7229385;46,0224228;39,4400101;4,5050497;1,0702246;489,5112;"1";2007-01-01
"26";109,6026764;45,3553467;39,5309677;4,1107168;1,0799952;489,8849792;"1";2007-02-01
"27";109,2774658;44,5892868;39,4567871;4,1302767;1,1492071;490,2457886;"1";2007-03-01
"28";109,2792053;44,0282135;39,5543671;3,9295135;0,9076387;490,3356018;"1";2007-04-01
"29";108,3393936;43,2512245;38,6206741;3,7592905;0,7500476;490,2575684;"1";2007-05-01
"30";107,1920929;42,4652214;37,6076126;3,4150105;0,7353072;490,3545837;"1";2007-06-01
"31";104,7212067;41,3848763;36,1226044;3,3465154;0,639177;491,3057251;"1";2007-07-01
"32";104,2473602;41,7350235;34,187149;3,7667398;0,2019456;490,1982422;"1";2007-08-01
"33";103,7689438;41,3899307;33,3679543;3,3794446;0,3198785;489,9146118;"1";2007-09-01
"34";103,6338959;40,7274437;33,9549828;3,3064067;0,4736807;490,1896057;"1";2007-10-01
"35";103,3063202;40,0665741;32,9384689;2,537683;0,7349308;491,2112427;"1";2007-11-01
"36";102,5555115;39,5263824;32,7523918;4,1623259;0,8578292;491,2923279;"1";2007-12-01
"37";102,3069534;38,9791565;32,3280678;3,4293163;1,0605627;491,8916931;"1";2008-01-01
"38";102,0423126;38,3231201;32,5737915;2,9751368;1,0504524;492,363739;"1";2008-02-01
"39";102,3479996;38,126049;32,8488464;3,4938099;1,1655526;492,0818481;"1";2008-03-01
