"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;46,1899109;22,4733505;4,7953949;21,3967819;6,3998308;4,1172976;26,8229275;7,8727846;2,5378816;9,6599989;1,5172249;2,2344396;32,9827385;14,7364216;4,069118;3,8314703;3,4687662;2,323359;25,0338478;-0,0177273;-0,0107506;-0,0167802;0,9219614;4,1839991;58,0165863;6,5073581;4,3907276
"2";2006;46,1696205;22,5993233;4,7850633;21,7532806;6,4782281;4,0735784;27,4480991;8,0562763;2,5970323;9,8851461;1,5525872;2,2865186;23,9478035;10,0050364;2,8241549;3,8875616;2,2983017;1,7452099;25,4425316;-0,0303575;-0,0184409;-0,0285571;1,0224088;3,9786918;49,3903351;5,7239017;3,3207105
"3";2007;46,1847763;22,1871967;4,7997427;22,2994404;6,090405;4,0596056;27,2929897;8,0107508;2,5823565;9,6426935;1,5438133;2,2735972;24,9382534;9,9318323;2,8496001;4,8112574;2,2389326;1,8582529;24,0350113;-0,034001;-0,0207843;-0,0321895;0,9205697;3,9163423;48,9732647;5,7745952;3,1595023
"4";2008;46,3037949;20,3155594;4,8171806;22,7852631;5,7532296;4,0542622;26,7500782;7,8514018;2,5309885;9,2900362;1,513104;2,2283707;25,7214909;9,8531713;2,8658247;5,5503359;2,1853983;1,9493886;22,867403;-0,0351156;-0,0216321;-0,0335386;1,0911289;3,8894188;48,5888939;5,8388074;3,2765272
"5";2009;46,2222786;19,4559879;4,8223104;23,3668327;5,5404444;4,0338268;26,6329861;7,8170328;2,5199101;9,0988131;1,5064806;2,2186167;26,3214054;9,7613344;2,8723269;6,1387162;2,1343782;2,0218439;22,770689;-0,0353857;-0,0220297;-0,034202;1,1973155;3,8553963;49,0920944;5,8772402;3,3316937
"6";2010;46,0624619;17,8832664;4,8205914;23,8922672;5,5108666;4,0030422;26,7014637;7,8371291;2,5263884;9,0388594;1,5103538;2,2243204;26,8045578;9,6701307;2,8743289;6,6191778;2,0878205;2,0816438;22,2252903;-0,0351138;-0,0222807;-0,034623;1,2381343;3,8163774;49,0298481;5,8980212;3,3259548
"7";2011;45,8535271;17,1602325;4,584372;24,0024567;5,4721951;3,9722562;26,8289413;7,8745451;2,538451;9,0360346;1,5175645;2,2349408;27,2041702;9,584444;2,8740609;7,0213523;2,0460618;2,1319644;21,5008259;-0,0347613;-0,0224759;-0,0348743;1,2900344;3,777513;48,7049961;5,9094774;3,3360962
"8";2012;45,559536;16,5243187;4,5173035;23,51618;5,4094038;3,9327667;26,8659477;7,8854079;2,5419526;8,9791145;1,519658;2,2380235;27,5286045;9,5025644;2,8715343;7,3568068;2,0082555;2,1738517;21,445858;-0,0347537;-0,0226433;-0,0349553;1,335191;3,7293162;48,9744625;5,9031679;3,3434465
"9";2013;45,437664;16,1655712;4,4492693;22,9202137;5,243329;3,9145718;26,8510132;7,8810263;2,5405393;8,7703438;1,5188134;2,236779;27,7806606;9,4217491;2,866344;7,6215529;1,9734284;2,2078371;21,1286755;-0,0348728;-0,0227914;-0,0349782;1,3058215;3,7036982;48,9093361;5,9115353;3,2792499
"10";2014;45,3098831;15,8567572;4,3645267;22,4780617;4,9669323;3,8963771;26,7385101;7,8480072;2,5298951;8,5893841;1,5124499;2,2274077;27,961935;9,3394213;2,8580697;7,8130336;1,9407042;2,2343109;20,5261688;-0,0350547;-0,0229232;-0,0343849;1,2542994;3,6795511;48,4881038;5,913862;3,1950036
"11";2015;45,3073235;15,2879591;3,8529365;18,4723892;3,9452589;3,5727909;26,1373787;7,6715684;2,4730186;8,2459545;1,478447;2,1773314;28,0526047;9,247139;2,8443446;7,941093;1,908133;2,2518401;20,7638035;-0,0351823;-0,0230389;-0,0325828;0,9221145;3,3551517;48,8164082;5,6069918;2,8302475
"12";2016;32,3690453;15,3199482;3,1735921;17,3387413;2,6338913;2,3755715;24,9076595;7,3106346;2,3566668;7,6815119;1,4088883;2,0748918;27,9721508;9,11903;2,8171291;7,9777455;1,8704478;2,2539055;12,0602179;-0,0353575;-0,0231321;-0,031353;0,8153349;2,4621799;40,0323687;4,7160854;2,6857827
"13";2017;27,9558678;13,6588812;3,1338792;17,2041035;2,3295932;2,3500073;24,1036167;7,0746398;2,2805912;7,3050408;1,3634084;2,0079119;27,7278633;8,9553108;2,7767525;7,9350495;1,8274511;2,2412765;9,6707621;-0,0356674;-0,0231952;-0,0310247;0,7915945;2,4212942;37,3986254;4,6625707;2,6190456
"14";2018;27,6898785;10,4876747;3,0906332;17,0832577;2,1834097;2,3161552;23,680624;6,9504862;2,2405694;7,0844083;1,3394821;1,9726754;27,4105339;8,7809763;2,7314966;7,8521194;1,7837552;2,2216558;9,3655348;-0,0363669;-0,023235;-0,0309659;0,7725409;2,379539;36,7760687;4,6011948;2,5562961
"15";2019;27,2137318;10,0848227;3,0525551;17,0196571;2,0759106;2,279381;23,342865;6,8513513;2,208612;6,9172421;1,3203769;1,9445387;27,0669003;8,6083212;2,6855154;7,7507191;1,7415529;2,1990547;9,2410402;-0,0371404;-0,0232609;-0,0309736;0,746677;2,3442669;36,3079405;4,5433216;2,4882299
"16";2020;27,1001263;10,0371637;3,0407555;17,0939159;2,0322876;2,2680619;23,1359482;6,7906184;2,1890342;6,8080397;1,3086725;1,9273019;26,716917;8,4419861;2,6404676;7,6417165;1,7015848;2,1752377;9,1333761;-0,0376491;-0,0232788;-0,030993;0,7432336;2,3301711;35,8502931;4,5054088;2,4448184
"17";2021;26,8401127;9,887579;3,0249734;17,1464729;1,9857768;2,2453637;22,90979;6,7242398;2,1676362;6,7066884;1,2958804;1,908462;26,3729153;8,2845345;2,5973237;7,5318799;1,6642158;2,1513207;9,1748514;-0,0379779;-0,0232923;-0,0310133;0,7352802;2,3058534;35,5477667;4,4571741;2,399496
"18";2022;26,4825878;9,7398462;3,0035715;17,1869221;1,9348677;2,2153432;22,8043308;6,693285;2,1576571;6,6503177;1,289915;1,8996772;26,0412979;8,1369419;2,5565183;7,4250288;1,6295209;2,127913;9,158021;-0,0380973;-0,0233032;-0,0310313;0,7220565;2,2760768;35,1993189;4,4039898;2,3515774
"19";2023;26,3174267;9,6923876;2,9944003;17,2842331;1,9093894;2,1992035;22,6928616;6,6605678;2,1471107;6,5989618;1,2836099;1,8903915;25,7298985;8,0007229;2,5186467;7,3246217;1,5976949;2,1057334;9,0826826;-0,0381226;-0,0233134;-0,0310484;0,7156001;2,256947;34,8125811;4,3626804;2,313295
"20";2024;25,8151379;9,5420208;2,9665892;17,2796783;1,85071;2,1590788;22,5566292;6,6205835;2,1342216;6,5453644;1,2759039;1,8790429;25,4355125;7,8742652;2,4832797;7,2303667;1,568343;2,0845699;9,1051245;-0,0381417;-0,0233235;-0,0300455;0,7074841;2,2185626;34,540637;4,3031325;2,2758271
"21";2025;20,9534512;9,0309105;2,7992139;14,7593794;1,7457799;2,036361;12,8183489;3,7623079;1,2128228;3,715013;0,7250633;1,0678114;24,8289032;7,6599431;2,419024;7,0471373;1,5226581;2,0370467;8,9058247;-0,0381482;-0,0233258;-0,0293799;0,7035625;2,1450443;33,7347279;4,182091;2,2262206
"22";2026;0;0;0;0;0;0;0;0;0;0;0;0;22,0772419;6,8191895;2,1523311;6,2444959;1,3568147;1,8105272;9,0080786;-0,0379923;-0,0231563;-0,0330218;0,6522794;0,9386753;31,0853205;2,7492025;2,0090941
