"";"YEAR";"Ca_WET";"Mg_WET";"K_WET";"X.2";"X.3";"N_WET";"S_WET";"X.6";"X.7";"X.8";"Dry.Deposition.kg.ha.yr";"X.9";"X.10";"X.11";"X.12";"X.13";"X.14";"X.15";"X.16";"X.17";"Total.Deposition.kg.ha.yr";"X.18";"X.19";"X.20";"X.21";"X.22";"X.23";"X.24";"X.25";"X.26";"Throughfall.kg.ha.yr";"X.27";"X.28";"X.29";"X.30";"X.31";"X.32";"X.33";"X.34";"X.35";"Ca_THRU";"Mg_THRU";"K_THRU";"X.38";"X.39";"N_THRU";"S_THRU";"X.42";"X.43";"X.44";"Litterflow.flux.kg.ha.yr";"X.45";"X.46";"X.47";"X.48";"X.49";"X.50";"X.51";"X.52";"X.53";"Leaching.flux.kg.ha.yr";"X.54";"X.55";"X.56";"X.57";"X.58";"X.59";"X.60";"X.61";"X.62";"Ca_WTH";"Mg_WTH";"K_WTH";"X.65";"X.66";"X.67";"P_WTH"
"1";2005;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;0;0;0;0;0;0;0;0;0;0;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;2,7071555;2,8633592;6,5267582;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;1,2313241;0,5911744;5,6255026;0;0;0;0;0;0;0;20,9823475;6,0084085;6,6530285;3,537497;3,1594951;9,6378822;11,8422222;19,5200577;34,5289688;0;8,2289562;7,5804868;4,127358;0,0296164;0,2569664;0,2865914;4,964159;24,8405609;41,4724083;2,15e-05;2,8953865;1,8094852;0,6203924;0,6276978;6,5579944;15,4296055;0,4591117
"2";2006;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;0;0;0;0;0;0;0;0;0;0;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;2,7071555;2,8633592;6,5267582;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;1,2313241;0,5911744;5,6255026;0;0;0;0;0;0;0;16,9181213;5,4671869;7,1657424;3,537497;3,1955647;9,6992512;11,503911;19,5200577;34,5289688;0;5,7615318;5,3317475;3,29881;0,0121278;0,1778561;0,3262698;4,9994979;26,8723183;50,0457497;0,2479959;2,9548216;1,8346616;0,6160222;0,6332723;6,5671577;15,6271687;0,4651316
"3";2007;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;0;0;0;0;0;0;0;0;0;0;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;2,7405519;2,8793931;6,6793346;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;1,2647206;0,6072083;5,7780786;0;0;0;0;0;0;0;15,0512304;5,3053794;8,154109;3,537497;3,3096735;9,9400549;11,385396;19,5200577;34,5289688;0;6,0176835;5,9036665;3,2481809;0,0139429;0,18538;0,5117679;4,9043803;26,5244789;57,8989944;0,9220128;3,018785;1,8604753;0,6045833;0,6265777;6,4922533;15,7802782;0,471479
"4";2008;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;0;0;0;0;0;0;0;0;0;0;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;2,7748094;2,8958404;6,8358455;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;1,298978;0,6236557;5,9345899;0;0;0;0;0;0;0;14,0108013;5,256012;9,0223398;3,537497;3,4262741;10,1902618;11,341692;19,5200577;34,5289688;0;5,9371662;6,3673015;3,1477528;0,013566;0,1807063;0,5680306;4,8507214;23,8785038;55,8155746;1,1021889;3,0741181;1,8826185;0,5946233;0,6218169;6,4323225;15,9148531;0,4769631
"5";2009;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;0;0;0;0;0;0;0;0;0;0;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;2,7483146;2,8831196;6,7147985;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;1,2724831;0,6109352;5,8135428;0;0;0;0;0;0;0;13,3360043;5,2426896;9,7308617;3,537497;3,5236051;10,4000206;11,3235855;19,5200577;34,5289688;0;5,2385821;6,0993719;2,8721571;0,0131725;0,1765758;0,5378886;4,7994757;21,8060722;49,9075813;1,0209843;3,1157949;1,8990577;0,5869526;0,6182489;6,386425;16,0145683;0,4812192
"6";2010;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;0;0;0;0;0;0;0;0;0;0;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;2,7256935;2,8722596;6,6114507;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;1,2498618;0,6000746;5,7101946;0;0;0;0;0;0;0;12,8517885;5,2399826;10,2925797;3,537497;3,6007557;10,5665159;11,3143454;19,5200577;34,5289688;0;4,6079202;5,6877594;2,5975776;0,0128389;0,1731589;0,5168353;4,7513638;20,7342834;44,7364807;0,8818008;3,1470995;1,9113531;0,5811759;0,6156053;6,3520174;16,0892792;0,4844458
"7";2011;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;0;0;0;0;0;0;0;0;0;0;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;2,7200625;2,8695555;6,5857248;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;1,2442306;0,5973712;5,6844687;0;0;0;0;0;0;0;12,4841824;5,239645;10,7323837;3,537497;3,661304;10,6972008;11,3082685;19,5200577;34,5289688;0;4,1595984;5,3322372;2,3667738;0,0125821;0,1704796;0,4989191;4,7078266;20,3012676;41,0056496;0,7379006;3,1755929;1,922652;0,5761662;0,6136694;6,3239517;16,1599808;0,4873086
"8";2012;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;0;0;0;0;0;0;0;0;0;0;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;2,7250488;2,8719497;6,6085052;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;1,249217;0,5997651;5,7072492;0;0;0;0;0;0;0;12,1967182;5,2391729;11,0746832;3,5374973;3,7092433;10,8006239;11,3034048;19,5200577;34,5289688;0;3,8642614;5,0477223;2,1795545;0,0123698;0,1680255;0,482905;4,6577458;20,1304302;38,4963531;0,6761287;3,2016008;1,9331038;0,5720454;0,6124381;6,3025074;16,2284851;0,4897797
"9";2013;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;0;0;0;0;0;0;0;0;0;0;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;2,7319913;2,8752825;6,6402225;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;1,2561595;0,6030982;5,7389655;0;0;0;0;0;0;0;11,9681568;5,2379432;11,3401966;3,5374973;3,7468121;10,881813;11,2990694;19,5200577;34,5289688;0;3,6942141;4,8429799;2,0325837;0,0120792;0,1650842;0,4702379;4,6175966;20,0647621;36,8846016;0,6431909;3,2239287;1,9420379;0,5684146;0,6113299;6,2835231;16,286541;0,4919488
"10";2014;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;0;0;0;0;0;0;0;0;0;0;1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;2,735471;2,8769534;6,6561193;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;0;1,2596393;0,6047688;5,7548623;0;0;0;0;0;0;0;11,7843876;5,2359219;11,5456467;3,5374973;3,775075;10,9429359;11,2950172;19,5200577;34,5289688;0;3,6244459;4,705658;1,9170752;0,0117947;0,1622239;0,4603405;4,5857534;20,0284996;35,891777;0,6202385;3,2423122;1,9494854;0,5655403;0,6105974;6,2692318;16,3358116;0,4936354
