"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1398512,65625;378678,1816405;104165,2163085;289434,2636721;50097,9487305;73918,8588868;228589,3442382;41921,5334474;15085,5223998;40582,1122742;7214,0031089;11966,9781495;228589,333496;46857,3446962;17400,0961457;61309,8959961;7214,0024986;11966,9781495;0,0107421999855433;-4935,8112488;-2314,5737459;-20727,7837219;0,000610299999607378;0
"2";2006;1092399,1875001;350142,7499999;92673,4863278;252417,8134765;42258,6308595;59749,112549;230368,8112792;46246,2729951;15227,4692383;40974,956421;7299,7982026;13104,1538088;230368,8220214;52154,708557;17998,1398468;65787,236206;7299,7979585;13104,1538088;-0,0107422000146471;-5908,4355619;-2770,6706085;-24812,279785;0,000244099999690661;0
"3";2007;798060,8964844;325967,3105468;81508,0488281;216611,2802734;34691,5137942;46237,1103515;228534,5960691;45774,5890045;15079,2788085;40542,8039552;7249,5726319;12957,2460936;228534,5989988;52219,0207518;18101,2960357;67605,9733887;7249,5715793;12957,2460936;-0,0029297000146471;-6444,4317473;-3022,0172272;-27063,1694335;0,00105260000054841;0
"4";2008;508511,9355468;300059,1347657;69194,4104006;177521,1894529;26434,3950806;31478,7426757;228048,5089112;45807,2726898;15054,438263;40418,0386353;7245,2505645;12896,5283208;228048,5186768;52812,0798951;18339,235443;69834,479248;7245,2500915;12896,5283208;-0,00976559999980964;-7004,80720530001;-3284,79718;-29416,4406127;0,000473000000056345;0
"5";2009;401478,4787597;288941,9628906;61766,3845214;152879,2939454;20916,3965456;21646,251587;228548,1499025;46144,7640991;15104,0927734;40567,6757813;7281,9244081;12938,8579104;228548,1678465;53617,6583862;18608,391693;71949,8259277;7281,9232637;12938,8564452;-0,017943999991985;-7472,8942871;-3504,2989196;-31382,1501464;0,00114440000015748;0,00146519999907468
"6";2010;340239,0146485;288996,3046875;57111,1249999;136190,5205078;16719,5506592;15963,8665773;228046,3148193;46108,5819703;15070,3571475;40451,2260742;7275,3797607;12891,1918944;228046,3255614;54042,6558226;18790,9184265;73770,0935059;7275,3791045;12891,1918944;-0,0107421000138856;-7934,0738523;-3720,561279;-33318,8674317;0,000656199999866658;0
"7";2011;317113,2207031;292407,8906251;52930,8867188;120822,0546875;12673,2344361;14523,4871215;227033,3873292;45910,0853424;14995,4939269;40202,5339356;7249,7117613;12797,375976;227033,3892823;54329,1194458;18943,467621;75557,9604492;7249,7105407;12797,375976;-0,00195309999980964;-8419,0341034;-3947,9736941;-35355,4265136;0,00122060000012425;0
"8";2012;294516,0117186;297363,486328;49169,425537;106682,4101561;10024,043686;14984,4729004;225788,0748292;45522,4127198;14893,9134823;39889,4604492;7205,9119112;12690,4628904;225788,0771485;54357,5817871;19066,040039;77252,2238769;7205,9114535;12690,4628904;-0,00231930002337322;-8835,1690673;-4172,1265567;-37362,7634277;0,000457699999969918;0
"9";2013;277509,0585936;302351,9882812;46484,2094728;95779,7880859;9459,3235472;15747,5280762;224658,154541;45199,0030669;14799,922821;39623,9719848;7172,7586365;12603,5405268;224658,1773685;54040,2090455;19183,4036865;78879,4963379;7172,7576752;12603,5405268;-0,0228275000117719;-8841,2059786;-4383,4808655;-39255,5243531;0,000961300001108611;0
"10";2014;256467,3837891;307201,1347656;44230,1601562;86151,0070802;8890,8732911;16330,5217285;224025,1398925;45029,6908112;14749,6998596;39468,2371827;7153,345123;12548,9326176;224025,1379394;54385,1439208;19342,0738525;80594,4619141;7153,3443756;12548,9340816;0,00195309999980964;-9355,4531096;-4592,3739929;-41126,2247314;0,000747400000363996;-0,00146400000085123
"11";2015;243901,1972657;315043,2988281;42856,4531248;79160,5993653;8547,9519043;17098,050354;223392,1428224;44860,3816223;14699,4797058;39312,5115964;7133,9315643;12494,3261724;223392,1431885;54661,4862671;19489,4017029;82207,8322754;7133,9305266;12494,3261724;-0,000366099993698299;-9801,1046448;-4789,9219971;-42895,320679;0,0010377000007793;0
"12";2016;240994,8691407;323153,7597655;42137,0885012;74151,3608398;8465,4881287;17529,1860351;223113,4615479;44887,2445678;14685,0697938;39244,6594237;7132,9416046;12461,2792968;223113,4644775;54843,7764284;19661,6591797;83811,6662597;7132,9406282;12461,2792968;-0,00292960001388565;-9956,5318606;-4976,5893859;-44567,006836;0,00097639999967214;0
"13";2017;223588,7177735;327682,6914062;40902,683716;67626,4609374;8012,1779708;17563,5590819;222176,7874755;44549,7994078;14604,1533203;39013,607971;7097,7371826;12388,1938476;222176,8034668;54749,7269898;19775,9031676;85328,3388671;7097,7365571;12388,1938476;-0,0159912999952212;-10199,927582;-5171,7498473;-46314,7308961;0,00062549999984185;0
