"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;39,1870766;21,5632439;4,774827;24,3577576;6,3145609;3,6514707;20,404583;7,8727846;2,5378816;10,2637501;1,6183732;2,0844312;22,112009;17,2156277;3,305567;3,8169835;2,6431694;1,9746349;-309,1773071;-0,0086375;-0,0052381;-0,0084263;-26,679987;-19,4332504;-287,0652981;-17,4586155;-24,0368176
"2";2006;39,7498016;23,6429844;4,8467727;25,5989285;6,5556936;3,9758368;20,8801575;8,0562763;2,5970323;10,5029688;1,656093;2,1330132;20,5002747;14,3369493;2,9607866;4,9048462;2,2842057;1,8838507;-70,9274826;-0,0159455;-0,00967;-0,0155557;-4,8735108;-2,4304638;-50,4272079;-0,5466131;-2,5893051
"3";2007;39,1449127;22,9047318;4,8133755;25,9858131;6,5875664;3,9114282;20,973011;8,0921011;2,6085811;10,549675;1,6634576;2,142499;20,3535118;12,9426594;2,856993;5,9563565;2,1355686;1,9126385;-3,9596732;-0,0183971;-0,0111568;-0,0179474;1,255868;2,3253398;16,3938386;4,2379783;3,3914366
"4";2008;31,8778534;22,8049641;4,8327003;26,6043072;6,6833177;3,8974559;21,0502129;8,1218872;2,6181831;10,5885029;1,6695805;2,1503851;20,6864071;12,1774311;2,8412495;6,8756194;2,0704472;1,9758935;10,1143446;-0,0193922;-0,0117602;-0,0189181;3,0217545;3,6432631;30,8007517;5,6191566;5,0922017
"5";2009;30,382618;22,5865574;4,8501506;27,0428371;6,8277702;3,892113;20,6647167;8,0031281;2,5799005;10,4336796;1,6451679;2,118942;21,0890617;11,681797;2,85025;7,6303687;2,0359311;2,0389636;12,2041159;-0,0199178;-0,012079;-0,0194309;3,5462492;3,9886425;33,2931776;6,0276061;5,5821803
"6";2010;30,3157711;21,1158104;4,8352485;27,0527134;5,8187094;3,8716774;19,5448589;7,6249309;2,457984;9,9406214;1,5674235;2,0188084;21,2977295;11,266696;2,8470438;8,1732969;2,0027351;2,0794175;12,276516;-0,0202486;-0,0122796;-0,0197536;3,2402346;4,0564594;33,5742455;6,1358769;5,2429697
"7";2011;30,2095032;16,930584;4,8279791;27,4069214;4,7760253;3,8408911;19,338232;7,585659;2,4453239;9,8894224;1,5593504;2,0084105;21,3647346;10,9057703;2,8351958;8,570158;1,9702541;2,1041594;11,7687502;-0,020463;-0,0124097;-0,0199628;3,221267;4,0402012;33,1334848;6,1443606;5,1915211
"8";2012;30,0536633;16,3707752;4,5973926;27,7968349;4,5648589;3,8101063;19,2885799;7,5919337;2,4473472;9,8976059;1,5606405;2,0100718;21,387104;10,6052065;2,82354;8,8857985;1,9424914;2,122705;11,8339033;-0,0206148;-0,0125017;-0,0201109;3,1679516;4,0052185;33,2210073;6,1279235;5,110443
"9";2013;29,8858089;16,1164398;4,1147466;27,3949318;4,5350552;3,7706161;19,333374;7,6258311;2,4582732;9,9417944;1,5676081;2,0190463;21,3909302;10,3552122;2,8132977;9,1437941;1,9191819;2,1375005;11,5953302;-0,0207308;-0,0125721;-0,0202241;3,1427951;3,9619114;32,9862604;6,0994119;5,061977
"10";2014;29,7938557;15,9879951;4,1242838;25,7968388;4,5057554;3,7524216;19,3733139;7,6520653;2,4667296;9,9759941;1,5730008;2,0259917;21,3858604;10,1461363;2,8044417;9,3571444;1,8995709;2,1495388;11,0357704;-0,0208249;-0,0126291;-0,0203158;3,1194758;3,9321649;32,4216308;6,0817037;5,0190467
