"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min";"V26"
"1";"        2005";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;5,8511252;0;0;0;0;0;0;2,764286;1,5380929;0,5049219;0,4877661;5,3569527;12,7818165;0,7154772;NA;2005;31,6208019;21,5632439;4,774827;24,3577576;6,3145609;3,6514707;20,404583;7,8727846;2,5378816;10,2637501;1,6183732;2,0844312;22,112009;17,2156277;3,305567;3,8169835;2,6431694;1,9746349;28,987812;-0,0085136;-0,005163;-0,0083055;3,5525815;3,6716242;NA
"2";"        2006";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;6,7499027;0;0;0;0;0;0;2,8379233;1,5620931;0,5099385;0,500057;5,4178205;13,0531321;0,7271138;NA;2006;31,77561;23,6429844;4,8467727;25,5989285;6,5556936;3,9758368;20,8801575;8,0562763;2,5970323;10,5029688;1,656093;2,1330132;20,5002747;14,3369493;2,9607866;4,9048462;2,2842057;1,8838507;14,2542162;-0,0155246;-0,0094148;-0,0151451;3,562371;3,620074;NA
"3";"        2007";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;7,1513281;0;0;0;0;0;0;2,8754659;1,5737793;0,5000454;0,4947475;5,353754;13,1086597;0,7338152;NA;2007;30,8724728;22,8772316;4,8036237;25,7749119;6,5725536;3,9114282;20,4350376;7,9181643;2,5525103;10,3229094;1,6277019;2,0964458;20,3032341;12,9256306;2,8515031;5,9341569;2,1320684;1,9081296;10,0427799;-0,0177723;-0,0107779;-0,0173378;3,5287359;3,5701385;NA
"4";"        2008";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;7,2971292;0;0;0;0;0;0;2,9068334;1,5851829;0,4945371;0,49016;5,3093796;13,1745653;0,7380385;NA;2008;30,8290672;19,3550014;4,7998939;25,8948345;5,2779155;3,8974559;19,2853432;7,5337839;2,428601;9,8217945;1,5486864;1,9946759;20,4034157;12,0815554;2,8103433;6,7506289;2,0507386;1,9505091;8,3087273;-0,0186539;-0,0113125;-0,0181979;3,1801803;3,5336003;NA
"5";"        2009";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;7,77953;0;0;0;0;0;0;2,9580896;1,6025625;0,4821337;0,4880928;5,2550793;13,2698183;0,7477484;NA;2009;30,3703957;17,4579678;4,7038159;26,402235;4,8444257;3,892113;19,0580425;7,4864354;2,4133387;9,7600679;1,5389537;1,9821403;20,5324898;11,497345;2,7907908;7,389904;1,998015;1,9901278;7,9360771;-0,0190921;-0,0115782;-0,0186254;3,1472287;3,4999132;NA
"6";"        2010";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;8,3214359;0;0;0;0;0;0;2,9660263;1,6042337;0,4775159;0,4844745;5,2204175;13,2606878;0,7498635;NA;2010;30,2914238;16,6163158;4,0935984;25,9467201;4,5783453;3,8716774;19,0188828;7,4950795;2,4161248;9,7713394;1,54073;1,9844289;20,6623344;11,0636892;2,7816031;7,9086413;1,9610043;2,0256686;7,5825267;-0,0193674;-0,0117452;-0,0188939;3,073683;3,4643292;NA
"7";"        2011";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;8,8870201;0;0;0;0;0;0;2,9844627;1,6117721;0,4769908;0,4838893;5,2139583;13,320302;0,7516;NA;2011;30,3692932;16,4877949;4,1200652;24,4813652;4,6095681;3,8408911;19,1153564;7,547401;2,432991;9,83955;1,5514857;1,9982817;20,7811661;10,7264137;2,7773776;8,3363333;1,9333845;2,0566721;7,0101433;-0,0195697;-0,0118679;-0,0190913;3,0584126;3,4272463;NA
"8";"        2012";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;9,4224482;0;0;0;0;0;0;3,0221634;1,6241902;0,4669512;0,480773;5,1633539;13,3785343;0,7597367;NA;2012;29,8578739;16,1696644;4,0860772;24,8333969;4,4887938;3,4618337;19,1435108;7,5671597;2,4393604;9,8653097;1,5555472;2,0035129;20,8816853;10,4548616;2,7750752;8,6898022;1,9115866;2,0829;6,9686661;-0,019732;-0,0119663;-0,0192497;3,0191047;3,3905385;NA
"9";"        2013";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;9,9478064;0;0;0;0;0;0;3,0210037;1,6228848;0,465127;0,4785537;5,1456304;13,3573885;0,7602426;NA;2013;29,7052231;15,9490528;4,0881658;25,1932983;4,4688096;3,1751807;19,2243233;7,604528;2,4514067;9,9140244;1,5632284;2,0134065;20,9583874;10,2294321;2,7727518;8,9798155;1,8933257;2,104198;6,692626;-0,0198656;-0,0120474;-0,01938;2,9921503;3,3526294;NA
"10";"        2014";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;10,4765177;0;0;0;0;0;0;3,0385263;1,6304783;0,4645277;0,4785283;5,1427927;13,4160604;0,761897;NA;2014;29,8355217;15,9465837;4,1233921;25,7528801;4,4912438;3,1758668;19,312439;7,6428881;2,4637723;9,9640331;1,5711141;2,0235627;21,0199509;10,0415411;2,7707245;9,2207899;1,8780701;2,1218462;6,1921401;-0,019978;-0,0121155;-0,0194896;2,9731495;3,3191941;NA
