"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1398512,65625;379173,8789062;104827,7241211;293597,794922;50097,9487305;73918,8588868;228589,3442382;41797,6076662;15085,5223998;40582,1122742;7214,0031089;11966,9781495;228589,333496;43442,8766478;15934,1992799;52097,5474855;7214,0024986;11966,9781495;0,0107421999855433;-1645,2689816;-848,6768801;-11515,4352113;0,000610299999607378;0
"2";2006;1092399,1875001;350142,7226561;93336,0146484;256581,4531251;42258,6308595;59749,112549;230368,8112792;46246,2729951;15227,4692383;40974,956421;7299,7982026;13104,1538088;230368,8220214;48215,7496034;16243,3812561;54759,5566405;7299,7979585;13104,1538088;-0,0107422000146471;-1969,4766083;-1015,9120178;-13784,6002195;0,000244099999690661;0
"3";2007;798060,8964844;325967,3339844;82170,5844728;220774,9423826;34691,5137942;46237,1103515;228534,5960691;45774,5890045;15079,2788085;40542,8039552;7249,5726319;12957,2460936;228534,5980223;47922,7280885;16187,350212;55577,8962402;7249,5715793;12957,2460936;-0,00195320000057109;-2148,139084;-1108,0714035;-15035,092285;0,00105260000054841;0
"4";2008;220667,4335938;302055,8535157;70766,765869;184398,6464844;26992,1235962;32462,734619;228048,5089112;45807,2726898;15054,438263;40418,0386353;7245,2505645;12896,5283208;183515,9434813;48142,2059631;16258,8630067;56760,5029296;7245,2500915;12896,5283208;44532,5654299;-2334,9332733;-1204,4247437;-16342,4642943;0,000473000000056345;0
"5";2009;35263,4414062;348316,080078;82094,0849609;214204,1796874;31634,0668946;41162,9222412;228548,1499025;46144,7640991;15104,0927734;40567,6757813;7281,9244081;12938,8579104;172818,2156982;48540,9808654;16340,1315688;57339,0855714;7281,9232637;12938,8564452;55729,9342043;-2396,2167663;-1236,0387954;-16771,4097901;0,00114440000015748;0,00146519999907468
"6";2010;5953,8059081;401248,1484376;103466,4238282;272005,9257812;40351,8928222;58149,6345214;228046,3148193;40723,2538453;15070,3571475;40451,2260742;7275,3797607;12891,1918944;172465,2611084;43218,6529693;16357,5525284;57916,7980957;7275,3791045;12891,1918944;55581,0537109;-2495,399124;-1287,1953809;-17465,5720215;0,000656199999866658;0
"7";2011;5265,2783203;420136,7402343;127571,9150391;337013,0488281;49856,1164551;76879,1445313;227033,3873292;36598,9730378;14995,4939269;40202,5339356;7249,7117613;12797,375976;171875,6383057;39235,6347046;16355,5584259;58656,8195801;7249,7105407;12797,375976;55157,7490235;-2636,6616668;-1360,064499;-18454,2856445;0,00122060000012425;0
"8";2012;3913,751953;423517,7714845;142162,6660157;399898,75;58832,6596679;94672,8085938;225788,0748292;36065,7789307;13789,2372128;39889,4604492;7205,9119112;12690,4628904;171179,2861327;38863,4815827;15232,3696899;59470,8847655;7205,9114535;12690,4628904;54608,7886965;-2797,702652;-1443,1324771;-19581,4243163;0,000457699999969918;0
"9";2013;3727,2568359;425387,839844;145781,0908205;432516,2578124;67906,3789063;112535,6035158;224658,154541;35599,9688872;12877,8500671;35822,9094848;7172,7586365;12603,5405268;170537,4810792;38554,1709291;14401,7109071;56499,7088622;7172,7576752;12603,5405268;54120,6734618;-2954,2020419;-1523,86084;-20676,7993774;0,000961300001108611;0
"10";2014;2779,081543;427329,5117188;146213,9218749;439312,4960936;77187,1103516;130669,1220702;224025,1398925;35384,4515534;12809,8683167;34240,7840577;7153,345123;12548,9326176;170127,805908;38489,1707153;14411,3692931;55971,0565185;7153,3443756;12548,9340816;53897,3339845;-3104,7191619;-1601,5009764;-21730,2724608;0,000747400000363996;-0,00146400000085123
"11";2015;2664,9667969;428583,9355471;146520,4023438;440293,5781249;81038,4711914;149085,2988282;223392,1428224;35055,7400207;12723,9616394;33975,9490964;6430,4945525;12494,3261724;169717,1871337;38305,6405945;14400,3536834;56722,3790281;6430,493637;12494,3261724;53674,9556887;-3249,9005738;-1676,392044;-22746,4299317;0,000915500000701286;0
"12";2016;3199,7785644;427990,2832031;146487,3759764;440341;81392,0922852;153603,4082031;223113,4615479;35016,34906;12701,7895203;33882,8762205;6338,0746613;11047,4194336;169472,5201413;38404,7107851;14449,6003876;57598,3869627;6338,0736848;11047,4194946;53640,9414066;-3388,3617251;-1747,8108673;-23715,5107422;0,000976500000433589;-6,09999988228083e-05
"13";2017;1858,7463378;429448,0039063;146746,986328;441140,3671878;81511,0249024;154011,8720702;222176,7874755;34984,5689391;12670,5405273;33777,1069945;6318,9881592;10888,6268311;168920,1696777;38509,1341247;14488,6117858;58445,9543458;6318,9875336;10888,62677;53256,6177978;-3524,5651856;-1818,0712585;-24668,8473513;0,000625600000603299;6,1100001403247e-05
"14";2018;2973,750244;429295,7031249;146771,8115236;441320,7968752;81565,8706056;153960,9072267;221918,7777098;34649,629959;12603,4456482;33566,8281249;6288,0110625;10822,2060549;168686,0222167;38305,3742676;14489,183014;59153,796875;6288,0104371;10822,2060549;53232,7554931;-3655,7443086;-1885,7373658;-25586,9687501;0,000625399999989895;0
"15";2019;3227,5546874;428503,4394531;146641,6435545;441058,8828123;81547,8881837;154038,8789062;219944,1722411;34597,6853028;12553,8024596;33408,0616454;6259,6150666;10743,8645022;167649,423584;38378,7595215;14504,1853029;59872,2009279;6259,6145322;10743,8649901;52294,7486571;-3781,0742187;-1950,3828433;-26464,1392825;0,000534399999196467;-0,000487900000734953
