"";"Year";"Month";"Dry.weight";"N";"Ca";"Mg";"K";"S";"P";"V10";"V11";"V12";"V13";"V14";"V15";"Date"
"1";2005;1;81,4202957;8,01823881996032;3,01255096548111;0,971130158844505;3,92746251676934;0,580029175194006;1,22145277119446;"   5724.5737305";"    751.6719971";"    399.5598450";"   1004.5098267";"    180.8916779";"    394.3507996";2005-01-01
"2";2005;2;97,210907;9,57329203400267;3,59680358834836;1,15947065464082;4,68915262688797;0,692519742434087;1,45834070884462;"   6834.7944336";"    897.4508057";"    477.0502319";"   1199.3238525";"    215.9737091";"    470.8309631";2005-02-01
"3";2005;3;98,6912613;9,71907674546197;3,65157669789529;1,17712739113564;4,76056032658744;0,703065622625774;1,48054872033044;"   6938.8769531";"    911.1174927";"    484.3149109";"   1217.5875244";"    219.2626343";"    478.0009460";2005-03-01
"4";2005;4;65,1362381;6,41459120762685;2,41004082936489;0,776904145443757;3,14197008770029;0,464023351125994;0,97716224005837;"   4579.6591797";"    601.3375854";"    319.6478577";"    803.6078491";"    144.7133484";"    315.4806519";2005-04-01
"5";2005;5;393,942627;38,7953155597364;14,5758773179329;4,69870027669442;19,0025704033416;2,80640367426926;5,90985710999787;"  27697.6855469";"   3636.8774414";"   1933.2237549";"   4860.2041016";"    875.2233887";"   1908.0205078";2005-05-01
"6";2005;6;120,5678406;11,8734737036543;4,46101013859991;1,43805749152317;5,8158186556957;0,858911952319775;1,80873726571103;"   8476.9951172";"   1113.0820312";"    591.6714478";"   1487.4863281";"    267.8658752";"    583.9578857";2005-06-01
"7";2005;7;89,9735413;8,86055909547578;3,32902105526337;1,07314790130972;4,34004455423204;0,640961550198875;1,34976703793848;"   6325.9438477";"    830.6355591";"    441.5338135";"   1110.0341797";"    199.8944550";"    435.7775879";2005-07-01
"8";2005;8;130,7659302;12,8777775718378;4,83833945687876;1,55969390033271;6,30774286577512;0,931562013933867;1,96172718911669;"   9194.0117188";"   1207.2307129";"    641.7172852";"   1613.3035889";"    290.5229797";"    633.3512573";2005-08-01
"9";2005;9;265,9729614;26,1929130301265;9,8409996520983;3,17235846458275;12,8297106684745;1,89476193986298;3,99007898426026;"  18700.2753906";"   2455.4619141";"   1305.2287598";"   3281.3986816";"    590.9128418";"   1288.2126465";2005-09-01
"10";2005;10;532,9328003;52,4830133697932;19,7185137719945;6,35648778427104;25,7070252464727;3,79655428581109;7,99496292896485;"  37469.9375000";"   4920.0346680";"   2615.3005371";"   6574.9726562";"   1184.0181885";"   2581.2050781";2005-10-01
