"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;38,7254753;17,170763;3,5227361;17,7539577;2,014662;3,4167979;26,8229275;7,060205;2,0077941;7,71315;1,2274824;2,0844312;43,9577637;14,9912148;4,1192508;3,7901108;3,5216396;2,3633375;-804,791687;-0,032987;-0,0200047;-0,0321806;-46,1806946;-78,8456192;-760,8339233;-76,4822817;-42,659055
"2";2006;39,2049904;19,3239098;3,9479537;20,1712513;2,2544148;3,8089252;27,4480991;7,2247601;2,0545902;7,892921;1,2560916;2,1330132;36,0923309;10,092371;2,7849314;3,5809255;2,2959869;1,7597154;-206,2327881;-0,0596201;-0,0361561;-0,0581627;-11,8621664;-19,2424011;-170,1404572;-17,4826857;-9,5661795
"3";2007;38,9480896;19,2064724;3,9343355;20,4930286;2,2382946;3,7689762;27,5701637;7,2568865;2,0637271;7,928021;1,2616774;2,142499;38,5193253;9,8956079;2,7396412;4,2983756;2,1939795;1,8544103;-37,4889946;-0,0678925;-0,0411729;-0,0662329;-2,172956;-2,4962385;1,0303307;-0,6418282;0,0210235000000001
"4";2008;38,8800049;19,2939053;3,9515512;20,9476166;2,2369077;3,7557235;26,7192059;7,2708101;2,0676868;7,932374;1,2640982;2,1466093;40,5762253;9,73104;2,7018905;4,9094925;2,1078398;1,9354645;10,0146618;-0,0706555;-0,0428485;-0,0689284;0,5606989;2,2229118;50,5908871;4,1583763;2,6685387
"5";2009;38,9499817;19,4909229;3,9829402;21,360075;2,2486782;3,766058;25,8109932;7,1898375;2,0446589;7,7661276;1,25002;2,1227031;42,1589775;9,5726395;2,6646693;5,4144955;2,0305645;2,0007851;25,4450035;-0,0717269;-0,0434982;-0,0699735;1,3299733;3,5619276;67,603981;5,5627127;3,3605378
"6";2010;38,8796806;19,5454636;3,9963369;21,5865707;2,2465777;3,7540708;25,4416447;7,2006202;2,0477252;7,5719047;1,2517089;2,1254103;43,3549919;9,4151564;2,6266592;5,8071432;1,9601077;2,0513542;27,2758331;-0,0718128;-0,0438172;-0,0704866;1,5444982;3,9239264;70,630825;5,9752806;3,5046059
"7";2011;38,737812;19,5337639;3,9993677;21,8021107;2,2383392;3,730566;25,3544579;7,2270808;2,0552499;7,4604182;1,250708;2,1206613;44,3363228;9,2706079;2,5914302;6,1129689;1,8972344;2,0919983;27,0765343;-0,0702402;-0,044021;-0,0708145;1,6025535;4,0052137;71,4128571;6,097212;3,4997879
"8";2012;38,5633888;16,1046333;3,9954474;22,0162449;2,224282;3,7030048;25,3014355;7,2474599;2,0610454;7,3880115;1,2340539;2,0918519;45,1773567;9,1382256;2,5588918;6,3543172;1,8394605;2,1217229;27,048214;-0,0672207;-0,0441781;-0,0710671;1,6163558;4,0062108;72,2255707;6,1279337;3,4558163
"9";2013;38,4051247;15,0975885;3,9924426;22,2432117;2,2136409;3,6788588;25,3371143;7,2710042;2,0677407;7,3443222;1,2234091;2,0732925;45,912262;9,0173349;2,5289595;6,5470939;1,7855363;2,1413822;26,7305641;-0,0653053;-0,0443104;-0,0712801;1,6175467;3,9884872;72,6428261;6,1298694;3,403083
"10";2014;38,316452;14,9707375;3,9935222;22,4272537;2,2074099;3,6647215;24,7576561;7,0818095;2,0287333;7,1827736;1,190538;2,0172353;46,5304794;8,8981142;2,4994977;6,6960769;1,734659;2,1519649;26,2456741;-0,0642669;-0,0444257;-0,0714655;1,615514;3,9728875;72,7761535;6,1248524;3,350173
